code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""Psychotropic""	""group""	""database""",
"""419941000033113""",UNKNOWN,true,"""Depixol Low Volume 200mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""200.000mg/1.000ml""	""Flupentixol""	""Antipsychotics""	""Aurum""",
"""420041000033111""",UNKNOWN,true,"""Depixol  Injection  200 mg/10 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	""Flupentixol""	""Antipsychotics""	""Aurum""",
"""420141000033110""",UNKNOWN,true,"""Depixol 40mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""20.000mg/1.000ml""	""Flupentixol""	""Antipsychotics""	""Aurum""",
"""420241000033115""",UNKNOWN,true,"""Depixol  Injection (syringe)  20 mg/1 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	""Flupentixol""	""Antipsychotics""	""Aurum""",
"""420341000033113""",UNKNOWN,true,"""Depixol  Injection (syringe)  40 mg/2 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	""Flupentixol""	""Antipsychotics""	""Aurum""",
"""420441000033119""",UNKNOWN,true,"""Depixol Conc 50mg/0.5ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""100.000mg/1.000ml""	""Flupentixol""	""Antipsychotics""	""Aurum""",
"""420541000033118""",UNKNOWN,true,"""Depixol Conc.  Injection  500 mg/5 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	""Flupentixol""	""Antipsychotics""	""Aurum""",
"""422941000033113""",UNKNOWN,true,"""Depixol 20mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""20.000mg/1.000ml""	""Flupentixol""	""Antipsychotics""	""Aurum""",
"""423041000033115""",UNKNOWN,true,"""Depixol Conc 100mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""100.000mg/1.000ml""	""Flupentixol""	""Antipsychotics""	""Aurum""",
"""431741000033118""",UNKNOWN,true,"""Depixol 3mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Flupentixol""	""3.000mg""	""Flupentixol""	""Antipsychotics""	""Aurum""",
"""472141000033110""",UNKNOWN,true,"""Dothapax 25 capsules""	""Capsule/ Oral capsule""	""Oral""	""Dosulepin""	""25.000mg""	""Dosulepin""	""Antidepressants""	""Aurum""",
"""473041000033119""",UNKNOWN,true,"""Doxepin 10mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Doxepin""	""10.000mg""	""Doxepin""	""Antidepressants""	""Aurum""",
"""473141000033115""",UNKNOWN,true,"""Doxepin 25mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Doxepin""	""25.000mg""	""Doxepin""	""Antidepressants""	""Aurum""",
"""473241000033110""",UNKNOWN,true,"""Doxepin 50mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Doxepin""	""50.000mg""	""Doxepin""	""Antidepressants""	""Aurum""",
"""473341000033117""",UNKNOWN,true,"""Doxepin 75mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Doxepin""	""75.000mg""	""Doxepin""	""Antidepressants""	""Aurum""",
"""476541000033119""",UNKNOWN,true,"""Dozic 5mg/5ml oral solution""	""Oral solution""	""Oral""	""Haloperidol""	""1.000mg/1.000ml""	""Haloperidol""	""Antipsychotics""	""Aurum""",
"""476641000033118""",UNKNOWN,true,"""Dozic  Liquid  2mg/ml""	NA	NA	""Haloperidol""	NA	""Haloperidol""	""Antipsychotics""	""Aurum""",
"""479641000033111""",UNKNOWN,true,"""Dothapax 75 tablets""	""Tablet/ Oral Tablet""	""Oral""	""Dosulepin""	""75.000mg""	""Dosulepin""	""Antidepressants""	""Aurum""",
