code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""Term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""Release""	""EmisCodeCategoryId""	""AD""",
"""1056401000006113""",UNKNOWN,true,"100	""ALLERGY3847""	""""	""adverse reaction to surmontil""	1056401000006109	1056401000006113	NA	5	1",
"""1057701000006118""",UNKNOWN,true,"200	""ALLERGY3957""	""""	""adverse reaction to tofranil""	1057701000006102	1057701000006118	NA	5	1",
"""1059711000006112""",UNKNOWN,true,"3	""ALLERGY4374EGTON""	""""	""adverse reaction to asendis""	1059711000006108	1059711000006112	NA	5	1",
"""1059731000006118""",UNKNOWN,true,"200	""ALLERGY4375EGTON""	""""	""adverse reaction to amoxapine""	1059731000006102	1059731000006118	NA	5	1",
"""1060541000006117""",UNKNOWN,true,"700	""ALLERGY441""	""""	""adverse reaction to clomipramine hydrochloride""	1060541000006101	1060541000006117	NA	5	1",
"""1060711000006111""",UNKNOWN,true,"2000	""ALLERGY4421EMIS""	""""	""adverse reaction to seroxat""	1060711000006107	1060711000006111	NA	5	1",
"""1060721000006115""",UNKNOWN,true,"8000	""ALLERGY4422EMIS""	""""	""adverse reaction to paroxetine hydrochloride""	1060721000006104	1060721000006115	NA	5	1",
"""1062001000006111""",UNKNOWN,true,"800	""ALLERGY4498EMIS""	""""	""adverse reaction to lustral""	1062001000006107	1062001000006111	NA	5	1",
"""1062011000006114""",UNKNOWN,true,"20000	""ALLERGY4499EMIS""	""""	""adverse reaction to sertraline hydrochloride""	1062011000006105	1062011000006114	NA	5	1",
"""1064391000006111""",UNKNOWN,true,"5	""ALLERGY4637EMIS""	""""	""adverse reaction to dothapax 25""	1064391000006107	1064391000006111	NA	5	1",
"""1064411000006111""",UNKNOWN,true,"4	""ALLERGY4638EMIS""	""""	""adverse reaction to dothapax 75""	1064411000006107	1064411000006111	NA	5	1",
"""1071381000006117""",UNKNOWN,true,"300	""ALLERGY6135BRIDL""	""""	""adverse reaction to amitriptyline sr""	1071381000006101	1071381000006117	NA	5	1",
"""1075141000006111""",UNKNOWN,true,"700	""ALLERGY5606EMIS""	""""	""adverse reaction to efexor""	1075141000006107	1075141000006111	NA	5	1",
"""1075151000006113""",UNKNOWN,true,"10000	""ALLERGY5607EMIS""	""""	""adverse reaction to venlafaxine""	1075151000006109	1075151000006113	NA	5	1",
"""1075671000006112""",UNKNOWN,true,"1	""ALLERGY5655NEMIS""	""""	""adverse reaction to feprapax""	1075671000006108	1075671000006112	NA	5	1",
"""1075961000006112""",UNKNOWN,true,"200	""ALLERGY5679EMIS""	""""	""adverse reaction to dutonin""	1075961000006108	1075961000006112	NA	5	1",
"""1075981000006119""",UNKNOWN,true,"200	""ALLERGY5680EMIS""	""""	""adverse reaction to nefazodone hydrochloride""	1075981000006103	1075981000006119	NA	5	1",
"""1076181000006113""",UNKNOWN,true,"2000	""ALLERGY5696EMIS""	""""	""adverse reaction to cipramil""	1076181000006109	1076181000006113	NA	5	1",
"""1076191000006111""",UNKNOWN,true,"20000	""ALLERGY5697EMIS""	""""	""adverse reaction to citalopram hydrobromide""	1076191000006107	1076191000006111	NA	5	1",
"""1080871000006114""",UNKNOWN,true,"200	""ALLERGY748""	""""	""adverse reaction to fluvoxamine maleate""	1080871000006105	1080871000006114	NA	5	1",
"""1084551000006111""",UNKNOWN,true,"60	""ALLERGY6297EMIS""	""""	""adverse reaction to edronax""	1084551000006107	1084551000006111	NA	5	1",
"""1084561000006113""",UNKNOWN,true,"500	""ALLERGY6298EMIS""	""""	""adverse reaction to reboxetine""	1084561000006109	1084561000006113	NA	5	1",
"""1084591000006117""",UNKNOWN,true,"200	""ALLERGY630""	""""	""adverse reaction to doxepin""	1084591000006101	1084591000006117	NA	5	1",
"""1085161000006115""",UNKNOWN,true,"200	""ALLERGY6335EMIS""	""""	""adverse reaction to efexor xl""	1085161000006104	1085161000006115	NA	5	1",
"""1085281000006117""",UNKNOWN,true,"700	""ALLERGY6342EMIS""	""""	""adverse reaction to zispin""	1085281000006101	1085281000006117	NA	5	1",
"""1085301000006118""",UNKNOWN,true,"20000	""ALLERGY6343EMIS""	""""	""adverse reaction to mirtazapine""	1085301000006102	1085301000006118	NA	5	1",
"""1090731000006119""",UNKNOWN,true,"20	""ALLERGY6682EMIS""	""""	""adverse reaction to xepin""	1090731000006103	1090731000006119	NA	5	1",
"""1090741000006112""",UNKNOWN,true,"30	""ALLERGY6683EMIS""	""""	""adverse reaction to doxepin hydrochloride""	1090741000006108	1090741000006112	NA	5	1",
"""1097941000006114""",UNKNOWN,true,"3000	""ALLERGY968""	""""	""adverse reaction to lofepramine""	1097941000006105	1097941000006114	NA	5	1",
"""1099071000006110""",UNKNOWN,true,"900	""ALLERGY861""	""""	""adverse reaction to imipramine""	1099071000006106	1099071000006110	NA	5	1",
"""1099091000006111""",UNKNOWN,true,"100	""ALLERGY862""	""""	""adverse reaction to imipramine hydrochloride""	1099091000006107	1099091000006111	NA	5	1",
"""1099731000006114""",UNKNOWN,true,"2	""ALLERGY890""	""""	""adverse reaction to isocarboxazid""	1099731000006105	1099731000006114	NA	5	1",
"""1104201000006119""",UNKNOWN,true,"5	""ALLERGY2421""	""""	""adverse reaction to domical""	1104201000006103	1104201000006119	NA	5	1",
"""1104831000006111""",UNKNOWN,true,"2	""ALLERGY2489""	""""	""adverse reaction to elavil""	1104831000006107	1104831000006111	NA	5	1",
"""1105561000006117""",UNKNOWN,true,"200	""ALLERGY2566""	""""	""adverse reaction to faverin""	1105561000006101	1105561000006117	NA	5	1",
"""1106541000006112""",UNKNOWN,true,"100	""ALLERGY3021""	""""	""adverse reaction to ludiomil""	1106541000006108	1106541000006112	NA	5	1",
"""1106801000006112""",UNKNOWN,true,"5	""ALLERGY3048""	""""	""adverse reaction to marplan""	1106801000006108	1106801000006112	NA	5	1",
"""1108031000006114""",UNKNOWN,true,"100	""ALLERGY3172""	""""	""adverse reaction to molipaxin""	1108031000006105	1108031000006114	NA	5	1",
"""1108261000006113""",UNKNOWN,true,"30	""ALLERGY3190""	""""	""adverse reaction to motipress""	1108261000006109	1108261000006113	NA	5	1",
"""1108271000006118""",UNKNOWN,true,"100	""ALLERGY3191""	""""	""adverse reaction to motival""	1108271000006102	1108271000006118	NA	5	1",
"""1108751000006116""",UNKNOWN,true,"60	""ALLERGY3231""	""""	""adverse reaction to nardil""	1108751000006100	1108751000006116	NA	5	1",
"""1109641000006118""",UNKNOWN,true,"40	""ALLERGY3314""	""""	""adverse reaction to norval""	1109641000006102	1109641000006118	NA	5	1",
"""1109901000006113""",UNKNOWN,true,"500	""ALLERGY2661""	""""	""adverse reaction to gamanil""	1109901000006109	1109901000006113	NA	5	1",
"""1113261000006118""",UNKNOWN,true,"60	""ALLERGY2972""	""""	""adverse reaction to lentizol""	1113261000006102	1113261000006118	NA	5	1",
