code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antipsychotic""",
"""934841000033111""",UNKNOWN,true,"""Modecate 25mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	NA	""Fluphenazine""",
"""935041000033115""",UNKNOWN,true,"""Moditen 1mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Fluphenazine""	""1.000mg""	NA	""Fluphenazine""",
"""935141000033116""",UNKNOWN,true,"""Moditen 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Fluphenazine""	""2.500mg""	NA	""Fluphenazine""",
"""935241000033111""",UNKNOWN,true,"""Moditen 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Fluphenazine""	""5.000mg""	NA	""Fluphenazine""",
"""938841000033118""",UNKNOWN,true,"""Motipress tablets""	""Tablet/ Oral Tablet""	""Oral""	""Fluphenazine""	""1.500mg + 30.000mg""	NA	""Fluphenazine""",
"""938941000033114""",UNKNOWN,true,"""Motival 10mg/500microgram tablets""	""Tablet/ Oral Tablet""	""Oral""	""Fluphenazine""	""500.000microgram + 10.000mg""	NA	""Fluphenazine""",
"""965041000033112""",UNKNOWN,true,"""Neulactil Forte syrup""	""Oral solution""	""Oral""	""Pericyazine""	""2.000mg/1.000ml""	NA	""Pericyazine""",
"""965541000033119""",UNKNOWN,true,"""Neulactil 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Pericyazine""	""10.000mg""	NA	""Pericyazine""",
"""965641000033118""",UNKNOWN,true,"""Neulactil 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Pericyazine""	""2.500mg""	NA	""Pericyazine""",
"""965741000033110""",UNKNOWN,true,"""Neulactil  Tablets  25 mg""	""Tablet""	""Oral""	""Pericyazine""	NA	NA	""Pericyazine""",
"""981641000033117""",UNKNOWN,true,"""Nozinan 25mg/1ml solution for injection ampoules""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Levomepromazine""	""25.000mg/1.000ml""	NA	""Levomepromazine""",
"""1003641000033113""",UNKNOWN,true,"""Olanzapine 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Olanzapine""	""10.000mg""	""04020100""	""Olanzapine""",
"""1003741000033116""",UNKNOWN,true,"""Olanzapine 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Olanzapine""	""5.000mg""	""04020100""	""Olanzapine""",
"""1003841000033114""",UNKNOWN,true,"""Olanzapine 7.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Olanzapine""	""7.500mg""	""04020100""	""Olanzapine""",
"""1016341000033111""",UNKNOWN,true,"""Orap  Tablets  10 mg""	""Tablet""	""Oral""	""Pimozide""	NA	NA	""Pimozide""",
"""1016441000033117""",UNKNOWN,true,"""Orap 2mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Pimozide""	""2.000mg""	NA	""Pimozide""",
"""1016541000033116""",UNKNOWN,true,"""Orap 4mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Pimozide""	""4.000mg""	NA	""Pimozide""",
"""1022741000033116""",UNKNOWN,true,"""Oxypertine 10mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Oxypertine""	""10.000mg""	""04020100""	""Oxypertine""",
"""1026941000033117""",UNKNOWN,true,"""Oxypertine 40mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Oxypertine""	""40.000mg""	""04020100""	""Oxypertine""",
"""1052041000033118""",UNKNOWN,true,"""Perphenazine  Injection  5 mg/ml""	""Solution for injection""	""Intramuscular""	""Perphenazine""	NA	NA	""Perphenazine""",
"""1063541000033113""",UNKNOWN,true,"""Pericyazine 10mg/5ml oral solution""	""Oral solution""	""Oral""	""Pericyazine""	""2.000mg/1.000ml""	""04020100""	""Pericyazine""",
"""1065141000033117""",UNKNOWN,true,"""Perphenazine 2mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Perphenazine""	""2.000mg""	""04020100""	""Perphenazine""",
"""1065241000033112""",UNKNOWN,true,"""Perphenazine 4mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Perphenazine""	""4.000mg""	""04020100""	""Perphenazine""",
