code,code_system,include,term,notes
"""ProdCodeId""",UNKNOWN,true,"""dmdid""	""Term.from.EMIS""	""ProductName""	""Formulation""	""RouteOfAdministration""	""DrugSubstanceName""	""SubstanceStrength""	""BNFChapter""	""DrugIssues""	""Gen""	""AP""",
"""660341000033116""",UNKNOWN,true,"321450000	""Haloperidol 5mg/5ml oral solution sugar free""	""Haloperidol 5mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Haloperidol""	""1.000mg/1.000ml""	""4090300""	100000	1	""Haloperidol""",
"""660441000033110""",UNKNOWN,true,"NA	""Haloperidol Liquid 2mg/ml""	""""	""""	""""	""""	""""	""""	9000	1	""Haloperidol""",
"""661341000033112""",UNKNOWN,true,"321420008	""Haloperidol 10mg/5ml oral solution sugar free""	""Haloperidol 10mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Haloperidol""	""2.000mg/1.000ml""	""4090300""	30000	1	""Haloperidol""",
"""661441000033118""",UNKNOWN,true,"NA	""Haloperidol Oral liquid conc. 10 mg/ml""	""""	""""	""""	""""	""""	""""	600	1	""Haloperidol""",
"""661541000033117""",UNKNOWN,true,"117911000001106	""Haldol 2mg/ml oral solution (Janssen-Cilag Ltd)""	""Haldol 2mg/ml oral solution""	""Oral solution""	""Oral""	""Haloperidol""	""2.000mg/1.000ml""	""4090300""	2000	1	""Haloperidol""",
"""662341000033115""",UNKNOWN,true,"321416009	""Haloperidol 1.5mg tablets""	""Haloperidol 1.5mg tablets""	""Tablet""	""Oral""	""Haloperidol""	""1.500mg""	""4090300""	600000	1	""Haloperidol""",
"""662441000033114""",UNKNOWN,true,"321419002	""Haloperidol 20mg tablets""	""Haloperidol 20mg tablets""	""Tablet""	""Oral""	""Haloperidol""	""20.000mg""	""4020100""	10000	1	""Haloperidol""",
"""662541000033110""",UNKNOWN,true,"321417000	""Haloperidol 5mg tablets""	""Haloperidol 5mg tablets""	""Tablet""	""Oral""	""Haloperidol""	""5.000mg""	""4090300""	600000	1	""Haloperidol""",
"""663241000033118""",UNKNOWN,true,"321418005	""Haloperidol 10mg tablets""	""Haloperidol 10mg tablets""	""Tablet""	""Oral""	""Haloperidol""	""10.000mg""	""4090300""	200000	1	""Haloperidol""",
"""663341000033111""",UNKNOWN,true,"321451001	""Haloperidol 500microgram tablets""	""Haloperidol 500microgram tablets""	""Tablet""	""Oral""	""Haloperidol""	""500.000microgram""	""4090300""	100000	1	""Haloperidol""",
"""663441000033117""",UNKNOWN,true,"271211000001102	""Haldol 10mg tablets (Janssen-Cilag Ltd)""	""Haldol 10mg tablets""	""Tablet""	""Oral""	""Haloperidol""	""10.000mg""	""""	600	1	""Haloperidol""",
"""663541000033116""",UNKNOWN,true,"152111000001103	""Haldol 5mg tablets (Janssen-Cilag Ltd)""	""Haldol 5mg tablets""	""Tablet""	""Oral""	""Haloperidol""	""5.000mg""	""""	1000	1	""Haloperidol""",
"""757541000033111""",UNKNOWN,true,"4547611000001108	""Integrin 10mg capsules (Sterling-Winthrop)""	""Integrin 10mg capsules""	""Capsule""	""Oral""	""Oxypertine""	""10.000mg""	""""	200	1	""Oxypertine""",
"""809341000033116""",UNKNOWN,true,"3147211000001102	""Lamictal 100mg dispersible tablets (GlaxoSmithKline UK Ltd)""	""Lamictal 100mg dispersible tablets""	""Dispersible tablet""	""Oral""	""Lamotrigine""	""100.000mg""	""4080100""	30000	3	""Lamotrigine""",
"""809441000033110""",UNKNOWN,true,"3146411000001100	""Lamictal 25mg dispersible tablets (GlaxoSmithKline UK Ltd)""	""Lamictal 25mg dispersible tablets""	""Dispersible tablet""	""Oral""	""Lamotrigine""	""25.000mg""	""4080100""	50000	3	""Lamotrigine""",
"""809541000033111""",UNKNOWN,true,"3145811000001106	""Lamictal 5mg dispersible tablets (GlaxoSmithKline UK Ltd)""	""Lamictal 5mg dispersible tablets""	""Dispersible tablet""	""Oral""	""Lamotrigine""	""5.000mg""	""4080100""	10000	3	""Lamotrigine""",
"""809641000033112""",UNKNOWN,true,"322992003	""Lamotrigine 100mg dispersible tablets sugar free""	""Lamotrigine 100mg dispersible tablets sugar free""	""Dispersible tablet""	""Oral""	""Lamotrigine""	""100.000mg""	""4080100""	200000	3	""Lamotrigine""",
"""809741000033115""",UNKNOWN,true,"322991005	""Lamotrigine 25mg dispersible tablets sugar free""	""Lamotrigine 25mg dispersible tablets sugar free""	""Dispersible tablet""	""Oral""	""Lamotrigine""	""25.000mg""	""4080100""	300000	3	""Lamotrigine""",
"""809841000033113""",UNKNOWN,true,"36566611000001104	""Lamotrigine 5mg dispersible tablets sugar free""	""Lamotrigine 5mg dispersible tablets sugar free""	""Dispersible tablet""	""Oral""	""Lamotrigine""	""5.000mg""	""4080100""	100000	3	""Lamotrigine""",
"""811041000033116""",UNKNOWN,true,"869511000001104	""Largactil 50mg/2ml solution for injection ampoules (Sanofi)""	""Largactil 50mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Chlorpromazine hydrochloride""	""25.000mg/1.000ml""	""4060000""	2000	1	""Chlorpromazine""",
