code,code_system,include,term,notes
"""Read.code""",UNKNOWN,true,"""Term""	""Group""	""Aurum.Medcode""	""Gold.Medcode""	""On.QOF""	""On.OHID""",
"""Eu201-1""",UNKNOWN,true,"""[X]Disorganised schizophrenia""	""schizophrenia""	""378051000006119""	""53985""	""YES""	""YES""",
"""Eu202""",UNKNOWN,true,"""[X]Catatonic schizophrenia""	""schizophrenia""	""370451000006110""	""61501""	""YES""	""YES""",
"""Eu202-1""",UNKNOWN,true,"""[X]Catatonic stupor""	""schizophrenia""	""370461000006112""	""20572""	""YES""	""YES""",
"""Eu202-2""",UNKNOWN,true,"""[X]Schizophrenic catalepsy""	""schizophrenia""	""425641000006111""	""64533""	""YES""	""YES""",
"""Eu202-3""",UNKNOWN,true,"""[X]Schizophrenic catatonia""	""schizophrenia""	""425651000006113""	""35877""	""YES""	""YES""",
"""Eu202-4""",UNKNOWN,true,"""[X]Schizophrenic flexibilatis cerea""	""schizophrenia""	""294743012""	""31493""	""YES""	""YES""",
"""Eu203""",UNKNOWN,true,"""[X]Undifferentiated schizophrenia""	""schizophrenia""	""296031017""	""60013""	""YES""	""YES""",
"""Eu203-1""",UNKNOWN,true,"""[X]Atypical schizophrenia""	""schizophrenia""	""366571000006114""	""91547""	""YES""	""YES""",
"""Eu204""",UNKNOWN,true,"""[X]Post-schizophrenic depression""	""schizophrenia""	""423041000006119""	""20785""	""YES""	""YES""",
"""Eu205""",UNKNOWN,true,"""[X]Residual schizophrenia""	""schizophrenia""	""424841000006113""	""64264""	""YES""	""YES""",
"""Eu205-1""",UNKNOWN,true,"""[X]Chronic undifferentiated schizophrenia""	""schizophrenia""	""371031000006115""	""24107""	""YES""	""YES""",
"""Eu205-2""",UNKNOWN,true,"""[X]Restzustand schizophrenic""	""schizophrenia""	""424931000006113""	""0""	""YES""	""YES""",
"""Eu206""",UNKNOWN,true,"""[X]Simple schizophrenia""	""schizophrenia""	""426881000006111""	""35848""	""YES""	""YES""",
"""Eu20y""",UNKNOWN,true,"""[X]Other schizophrenia""	""schizophrenia""	""401855010""	""49420""	""YES""	""YES""",
"""Eu20y-1""",UNKNOWN,true,"""[X]Cenesthopathic schizophrenia""	""schizophrenia""	""370631000006117""	""0""	""YES""	""YES""",
"""Eu20y-2""",UNKNOWN,true,"""[X]Schizophreniform disord NOS""	""schizophrenia""	""425681000006117""	""94001""	""YES""	""YES""",
"""Eu20y-3""",UNKNOWN,true,"""[X]Schizophrenifrm psychos NOS""	""schizophrenia""	""425711000006116""	""18053""	""YES""	""YES""",
"""Eu20z""",UNKNOWN,true,"""\""[X]Schizophrenia, unspecified\""""	""schizophrenia""	""296040018""	""34966""	""YES""	""YES""",
"""Eu21""",UNKNOWN,true,"""[X]Schizotypal disorder""	""other psychosis""	""401856011""	""39316""	""YES""	""YES""",
"""Eu21-1""",UNKNOWN,true,"""[X]Latent schizophrenic reaction""	""other psychosis""	""395031000006114""	""91511""	""YES""	""YES""",
"""Eu21-2""",UNKNOWN,true,"""[X]Borderline schizophrenia""	""other psychosis""	""367951000006113""	""54387""	""YES""	""YES""",
"""Eu21-3""",UNKNOWN,true,"""[X]Latent schizophrenia""	""other psychosis""	""395021000006111""	""64993""	""YES""	""YES""",
"""Eu21-4""",UNKNOWN,true,"""[X]Prepsychotic schizophrenia""	""other psychosis""	""423271000006116""	""62449""	""YES""	""YES""",
"""Eu21-5""",UNKNOWN,true,"""[X]Prodromal schizophrenia""	""other psychosis""	""423471000006117""	""40386""	""YES""	""YES""",
"""Eu21-6""",UNKNOWN,true,"""[X]Pseudoneurotic schizophrenia""	""other psychosis""	""423731000006114""	""49852""	""YES""	""YES""",
"""Eu21-7""",UNKNOWN,true,"""[X]Pseudopsychopathic schizophrenia""	""other psychosis""	""423741000006116""	""71250""	""YES""	""YES""",
"""Eu21-8""",UNKNOWN,true,"""[X]Schizotypal personality disorder""	""other psychosis""	""425731000006110""	""26859""	""YES""	""YES""",
"""Eu22""",UNKNOWN,true,"""[X]Persistent delusional disorders""	""other psychosis""	""419861000006117""	""28562""	""YES""	""YES""",
"""Eu220""",UNKNOWN,true,"""[X]Delusional disorder""	""other psychosis""	""215841000000114""	""34389""	""YES""	""YES""",
"""Eu220-1""",UNKNOWN,true,"""[X]Paranoid psychosis""	""other psychosis""	""215851000000112""	""2113""	""YES""	""YES""",
"""Eu220-2""",UNKNOWN,true,"""[X]Paranoid state""	""other psychosis""	""418231000006115""	""11172""	""YES""	""YES""",
