code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""anticoagulants""",
"""31148""",UNKNOWN,true,"266	""Flolan 500microgram powder and solvent (pH10.5) for solution for infusion vials (GlaxoSmithKline UK Ltd)""	""Epoprostenol""	""500microgram""	""Powder and solvent for solution for infusion""	""Intravenous""	""Parenteral Anticoagulants""	""Epoprostenol""",
"""14788""",UNKNOWN,true,"1134	""Innohep 10,000units/0.5ml solution for injection pre-filled syringes (LEO Pharma)""	""Tinzaparin""	""20000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""63571""",UNKNOWN,true,"1032	""Innohep 16,000units/0.8ml solution for injection pre-filled syringes (LEO Pharma)""	""Tinzaparin""	""20000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""6262""",UNKNOWN,true,"1049383	""Warfarin 500microgram tablets""	""Warfarin""	""500microgram""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""77559""",UNKNOWN,true,"85	""Warfarin 5mg Tablet (Lagap)""	""Warfarin""	""5mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""36989""",UNKNOWN,true,"2035	""Fragmin Graduated Syringe 10,000units/1ml solution for injection pre-filled syringes (Pfizer Ltd)""	""Dalteparin""	""10000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""64500""",UNKNOWN,true,"49	""Xarelto 2.5mg tablets (Bayer Plc)""	""Rivaroxaban""	""2.5mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Rivaroxaban""",
"""81838""",UNKNOWN,true,"0	""Fondaparinux sodium 2.5mg/0.5ml solution for injection pre-filled syringes (Dr Reddy's Laboratories (UK) Ltd)""	""Fondaparinux""	""5mg/1ml""	""Solution for injection""	""Intravenous/Subcutaneous""	""Parenteral Anticoagulants""	""Fondaparinux""",
"""60949""",UNKNOWN,true,"308	""Warfarin 5mg/5ml oral suspension""	""Warfarin""	""1mg/1ml""	""Oral suspension""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""55565""",UNKNOWN,true,"3	""Clexane 100mg/1ml solution for injection pre-filled syringes (DE Pharmaceuticals)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""60041""",UNKNOWN,true,"5	""Danaparoid sodium 750units/0.6ml solution for injection ampoules""	""Danaparoid""	""1250unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Danaparoid""",
"""13568""",UNKNOWN,true,"127	""Heparin sodium 25,000iu/ml Subcutaneous injection""	""Heparin""	""25,000iu/ml""	""Subcutaneous Injection""	""Intramuscular""	""Parenteral Anticoagulants""	""Heparin""",
"""24896""",UNKNOWN,true,"2	""Heparin low molecular weight 2500 iu/0.2ml Sterile solution""	""Dalteparin/Heparin""	""2500iu/0.2ml""	""Sterile Solution""	NA	""Parenteral Anticoagulants""	""Dalteparin/Heparin""",
"""37613""",UNKNOWN,true,"80	""Heparin sodium 10,000units/10ml solution for injection ampoules""	""Heparin""	""1000unit/1ml""	""Solution for injection""	""Intravenous""	""Parenteral Anticoagulants""	""Heparin""",
"""89641""",UNKNOWN,true,"4	""Warfarin 5mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)""	""Warfarin""	""5mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""47423""",UNKNOWN,true,"3	""Heparin sodium 200units/2ml I.V. flush solution ampoules (LEO Pharma)""	""Heparin""	""100unit/1ml""	""Not applicable""	""Route of administration not applicable""	""Catheter Maintenance Solutions""	""Heparin""",
"""47646""",UNKNOWN,true,"1813	""Heparin sodium 50units/5ml I.V. flush solution ampoules (Wockhardt UK Ltd)""	""Heparin""	""10unit/1ml""	""Not applicable""	""Route of administration not applicable""	""Catheter Maintenance Solutions""	""Heparin""",
"""5747""",UNKNOWN,true,"989	""Fragmin 25,000iu/ml Solution for injection (Pfizer Ltd)""	""Dalteparin""	""25,000iu/ml""	""Solution For Injection""	""Subcutaneous Injection""	""Parenteral Anticoagulants""	""Dalteparin""",
"""8664""",UNKNOWN,true,"540	""Heparin sodium 5000iu/ml Injection""	""Heparin""	""5000iu/ml""	""Injection""	""Intramuscular""	""Parenteral Anticoagulants""	""Heparin""",
"""13502""",UNKNOWN,true,"3525	""Dindevan 10mg Tablet (Goldshield Pharmaceuticals Ltd)""	""Phenindione""	""10mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Phenindione""",
"""91550""",UNKNOWN,true,"0	""Apixaban 5mg tablets (Accord-UK Ltd)""	""Apixaban""	""5mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Apixaban""",
"""31511""",UNKNOWN,true,"22788	""Warfarin 3mg Tablet (WB Pharmaceuticals Ltd)""	""Warfarin""	""3mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
