code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""bnftext""	""Psychotropic""	""group""",
"""228""",UNKNOWN,true,"""Fentazin 5mg/ml Injection (Goldshield Pharmaceuticals Ltd)""	""Injection""	""Intramuscular""	""Perphenazine""	""5mg/ml""	""Antipsychotic Products/-""	""Perphenazine""	""Antipsychotics""",
"""4992""",UNKNOWN,true,"""Solian 200 tablets (Sanofi)""	""Oral tablet""	""Oral""	""Amisulpride""	""200mg""	""Second-Generation Antipsychotic Drugs""	""Amisulpride""	""Antipsychotics""",
"""73868""",UNKNOWN,true,"""Duloxetine 60mg gastro-resistant capsules (Aspire Pharma Ltd)""	""Gastro-resistant capsule""	""Oral""	""Duloxetine""	""60mg""	""Other Antidepressants/Treatment Of Diabetic Nephropathy And Neuropathy""	""Duloxetine""	""Antidepressants""",
"""873""",UNKNOWN,true,"""AMITRIPTYLINE 100 MG TAB""	""Tablet""	""Oral""	""Amitriptyline""	NA	""Unknown""	""Amitriptyline""	""Antidepressants""",
"""40928""",UNKNOWN,true,"""Droperidol 2.5mg/1ml solution for injection ampoules""	""Solution for injection""	""Intravenous""	""Droperidol""	""2.5mg/1ml""	""Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products""	""Droperidol""	""Antipsychotics""",
"""70867""",UNKNOWN,true,"""Paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes""	""Prolonged-release suspension for injection""	""Intramuscular""	""Paliperidone""	""200mg/1ml""	""Antipsychotic Depot Injections""	""Paliperidone""	""Antipsychotics""",
"""1809""",UNKNOWN,true,"""Imipramine 25mg tablets""	""Oral tablet""	""Oral""	""Imipramine""	""25mg""	""Tricyclic And Related Antidepressants/Nocturnal Enuresis""	""Imipramine""	""Antidepressants""",
"""66749""",UNKNOWN,true,"""Trazodone 10mg/5ml oral solution""	""Oral solution""	""Oral""	""Trazodone""	""2mg/1ml""	""Tricyclic And Related Antidepressants""	""Trazodone""	""Antidepressants""",
"""18886""",UNKNOWN,true,"""Convulex 500mg gastro-resistant capsules (G.L. Pharma UK Ltd)""	""Gastro-resistant capsule""	""Oral""	""Valproic""	""500mg""	""Prophylaxis Of Migraine/Control Of Epilepsy""	""Valproic""	""Mood Stabilisers""",
"""36633""",UNKNOWN,true,"""Episenta 150mg modified-release capsules (Desitin Pharma Ltd)""	""Modified-release capsule""	""Oral""	""Valproate""	""150mg""	""Control Of Epilepsy""	""Valproate""	""Mood Stabilisers""",
"""252""",UNKNOWN,true,"""Prozac 20mg/5ml liquid (Eli Lilly and Company Ltd)""	""Oral solution""	""Oral""	""Fluoxetine""	""4mg/1ml""	""Selective Serotonin Re-Uptake Inhibitors (SSRI)""	""Fluoxetine""	""Antidepressants""",
"""75423""",UNKNOWN,true,"""Lamotrigine 50mg tablets (DE Pharmaceuticals)""	""Oral tablet""	""Oral""	""Lamotrigine""	""50mg""	""Products Used In Psychoses And Related Disorders/Control Of Epilepsy""	""Lamotrigine""	""Mood Stabilisers""",
"""52516""",UNKNOWN,true,"""Alventa XL 150mg capsules (Krka UK Ltd)""	""Modified-release capsule""	""Oral""	""Venlafaxine""	""150mg""	""Other Antidepressants""	""Venlafaxine""	""Antidepressants""",
"""34355""",UNKNOWN,true,"""Imipramine 25mg tablets (Accord-UK Ltd)""	""Oral tablet""	""Oral""	""Imipramine""	""25mg""	""Tricyclic And Related Antidepressants/Nocturnal Enuresis""	""Imipramine""	""Antidepressants""",
"""45941""",UNKNOWN,true,"""Tegretol Prolonged Release 200mg tablets (Novartis Pharmaceuticals UK Ltd)""	""Modified-release tablet""	""Oral""	""Carbamazepine""	""200mg""	""Control Of Epilepsy""	""Carbamazepine""	""Mood Stabilisers""",
"""63973""",UNKNOWN,true,"""Lamotrigine 25mg dispersible tablets sugar free (Actavis UK Ltd)""	""Dispersible tablet""	""Oral""	""Lamotrigine""	""25mg""	""Control Of Epilepsy""	""Lamotrigine""	""Mood Stabilisers""",
