code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Metformin""",
"""55739""",UNKNOWN,true,"0	""Metformin 500mg tablets (Tillomed Laboratories Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""72107""",UNKNOWN,true,"57	""Meijumet 500mg modified-release tablets (Medreich Plc)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""735""",UNKNOWN,true,"3361	""Metformin 100mg/ml Oral solution""	""Metformin""	""100mg/ml""	""Oral Solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""68389""",UNKNOWN,true,"0	""Metformin 500mg/5ml oral solution sugar free (Pinewood Healthcare)""	""Metformin""	""100mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""34697""",UNKNOWN,true,"94	""Metformin 850mg tablets (Wockhardt UK Ltd)""	""Metformin""	""850mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""78293""",UNKNOWN,true,"0	""Alogliptin 12.5mg / Metformin 1g tablets (Colorama Pharmaceuticals Ltd)""	""Metformin""	""1gram + 12.5mg""	""Oral tablet""	""Oral""	""Gliptins Plus Metformin""	""Metformin""",
"""69370""",UNKNOWN,true,"281	""Synjardy 5mg/850mg tablets (Boehringer Ingelheim Ltd)""	""Metformin""	""5mg + 850mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Metformin""",
"""52449""",UNKNOWN,true,"4367	""Linagliptin 2.5mg / Metformin 850mg tablets""	""Metformin""	""850mg + 2.5mg""	""Oral tablet""	""Oral""	""Gliptins Plus Metformin""	""Metformin""",
"""25678""",UNKNOWN,true,"2843	""Glucamet 500mg Tablet (Opus Pharmaceuticals Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""62824""",UNKNOWN,true,"0	""Metformin 1g modified-release tablets (Actavis UK Ltd)""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""38355""",UNKNOWN,true,"235494	""Metformin 750mg modified-release tablets""	""Metformin""	""750mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""23""",UNKNOWN,true,"22230010	""Metformin 500mg tablets""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""87891""",UNKNOWN,true,"0	""Metformin 500mg modified-release tablets (Amarox Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""70744""",UNKNOWN,true,"37	""Metformin 500mg/5ml oral solution sugar free (Advanz Pharma)""	""Metformin""	""100mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""7325""",UNKNOWN,true,"61902	""Avandamet 4mg/1000mg tablets (GlaxoSmithKline UK Ltd)""	""Metformin""	""1gram + 4mg""	""Oral tablet""	""Oral""	""Unknown""	""Metformin""",
"""60012""",UNKNOWN,true,"12818	""Dapagliflozin 5mg / Metformin 1g tablets""	""Metformin""	""1gram + 5mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Metformin""",
"""54973""",UNKNOWN,true,"517	""Saxagliptin 2.5mg / Metformin 850mg tablets""	""Metformin""	""850mg + 2.5mg""	""Oral tablet""	""Oral""	""Gliptins Plus Metformin""	""Metformin""",
"""53478""",UNKNOWN,true,"0	""Metformin 500mg modified-release tablets (Kent Pharma (UK) Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""40110""",UNKNOWN,true,"2560	""Glucophage 500mg oral powder sachets (Merck Serono Ltd)""	""Metformin""	""500mg""	""Powder for oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""34323""",UNKNOWN,true,"1421	""Metformin 500mg tablets (A A H Pharmaceuticals Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""11760""",UNKNOWN,true,"7743	""Metformin with rosiglitazone 1000mg + 2mg Tablet""	""Metformin""	""1000mg + 2mg""	""Tablet""	""Oral""	""Biguanides (Metformin)/Other Antidiabetic Products""	""Metformin""",
