code,code_system,include,term,notes
40233,UNKNOWN,true,Metformin 1g oral powder sachets sugar free,
52634,UNKNOWN,true,Glucophage SR 500mg tablets (DE Pharmaceuticals),
82846,UNKNOWN,true,Amglidia 0.6mg/ml oral suspension with 5ml oral syringe (Amring Pharmaceuticals Ltd),
82816,UNKNOWN,true,Lyumjev 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd),
6061,UNKNOWN,true,Novomix 30 30/70 100units/ml Injection (Novo Nordisk Ltd),
78125,UNKNOWN,true,Gliclazide 30mg modified-release tablets (Sigma Pharmaceuticals Plc),
49307,UNKNOWN,true,Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4.5mm/31gauge (Ypsomed Ltd),
92100,UNKNOWN,true,Apollo Pro-Shield Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (Apollo Medical Technologies Ltd),
62326,UNKNOWN,true,Vipidia 6.25mg tablets (Takeda UK Ltd),
53118,UNKNOWN,true,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd),
77978,UNKNOWN,true,Januvia 50mg tablets (Pharmaram Ltd),
14301,UNKNOWN,true,Insulin detemir 100units/ml solution for injection 3ml cartridges,
56965,UNKNOWN,true,Komboglyze 2.5mg/1000mg tablets (AstraZeneca UK Ltd),
83130,UNKNOWN,true,Dulaglutide 3mg/0.5ml solution for injection pre-filled disposable devices,
28666,UNKNOWN,true,Omnican 50 hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge (B.Braun Medical Ltd),
15955,UNKNOWN,true,Starlix 120mg tablets (Novartis Pharmaceuticals UK Ltd),
7861,UNKNOWN,true,INSULIN HUMULIN S (NEUTRAL) CARTRIDGE 100 I/U,
60430,UNKNOWN,true,Invokana 100mg tablets (A. Menarini Farmaceutica Internazionale SRL),
48533,UNKNOWN,true,Sitagliptin 25mg tablets,
35057,UNKNOWN,true,OptiClik hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Blue (Sanofi),
5059,UNKNOWN,true,NovoPen 3 Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units (Novo Nordisk Ltd),
76021,UNKNOWN,true,Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),
27280,UNKNOWN,true,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 10ml vials,
73525,UNKNOWN,true,Metformin 500mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd),
34399,UNKNOWN,true,Gliclazide 80mg tablets (IVAX Pharmaceuticals UK Ltd),
8322,UNKNOWN,true,Insulin zinc suspension mixed human pyr 100unit/ml Injection,
86879,UNKNOWN,true,Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Spirit Healthcare Ltd),
6337,UNKNOWN,true,Glimepiride 3mg tablets,
53774,UNKNOWN,true,Metabet SR 500mg tablets (Actavis UK Ltd),
34598,UNKNOWN,true,Metformin 500mg tablets (Viatris UK Healthcare Ltd),
84717,UNKNOWN,true,Metformin 500mg Tablet (Ratiopharm UK Ltd),
51881,UNKNOWN,true,Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (B.Braun Medical Ltd),
35251,UNKNOWN,true,Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices,
77805,UNKNOWN,true,Insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices,
26403,UNKNOWN,true,Pur-in mix 25/75 Injection (C P Pharmaceuticals Ltd),
22636,UNKNOWN,true,TOLBUTAMIDE 1 GM TAB,
10484,UNKNOWN,true,Penmix 20/80 Penfill (Novo Nordisk Ltd),
71477,UNKNOWN,true,Glimepiride 1mg tablets (Alliance Healthcare (Distribution) Ltd),
10258,UNKNOWN,true,Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge,
71247,UNKNOWN,true,PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Prosum Medical Ltd),
6470,UNKNOWN,true,Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd),
83847,UNKNOWN,true,Trulicity 4.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd),
3550,UNKNOWN,true,Mixtard 40 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),
14505,UNKNOWN,true,Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials,
84627,UNKNOWN,true,Metformin 1g modified-release tablets (Accord-UK Ltd),
71890,UNKNOWN,true,Metformin 500mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd),
57601,UNKNOWN,true,Daonil 5mg tablets (Dowelhurst Ltd),
13474,UNKNOWN,true,U100 Insulin syringe Sp.36 [2A] 1ml,
71476,UNKNOWN,true,Glimepiride 2mg tablets (Alliance Healthcare (Distribution) Ltd),
69852,UNKNOWN,true,Microdot Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (Cambridge Sensors Ltd),
58801,UNKNOWN,true,GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (GlucoRx Ltd),
63679,UNKNOWN,true,Hypurin soluble 100iu/ml Injection (C P Pharmaceuticals Ltd),
5678,UNKNOWN,true,Nateglinide 120mg tablets,
78946,UNKNOWN,true,Ertugliflozin 15mg tablets,
83608,UNKNOWN,true,Metformin 500mg modified-release tablets (Consilient Health Ltd),
14646,UNKNOWN,true,Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with not less than 12mm needle 0.33mm/29gauge,
90536,UNKNOWN,true,Mounjaro KwikPen 12.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd),
84232,UNKNOWN,true,Forxiga 10mg tablets (Pharmaram Ltd),
