code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""database""",
"""63690""",UNKNOWN,true,"""type 2 diabetes mellitus with gastroparesis""	""Gold""",
"""70821""",UNKNOWN,true,"""diabetes mellitus nos with other specified manifestation""	""Gold""",
"""62107""",UNKNOWN,true,"""type ii diabetes mellitus with gangrene""	""Gold""",
"""91646""",UNKNOWN,true,"""type ii diabetes mellitus with ulcer""	""Gold""",
"""64449""",UNKNOWN,true,"""unspecified diabetes mellitus with multiple complications""	""Gold""",
"""43453""",UNKNOWN,true,"""diabetes mellitus autosomal dominant""	""Gold""",
"""25627""",UNKNOWN,true,"""type 2 diabetes mellitus - poor control""	""Gold""",
"""18143""",UNKNOWN,true,"""type ii diabetes mellitus with arthropathy""	""Gold""",
"""506""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus""	""Gold""",
"""35385""",UNKNOWN,true,"""type 2 diabetes mellitus with neuropathic arthropathy""	""Gold""",
"""104639""",UNKNOWN,true,"""type ii diabetes mellitus with peripheral angiopathy""	""Gold""",
"""22884""",UNKNOWN,true,"""type ii diabetes mellitus""	""Gold""",
"""49869""",UNKNOWN,true,"""type 2 diabetes mellitus with arthropathy""	""Gold""",
"""113495""",UNKNOWN,true,"""type ii diabetes mellitus with multiple complications""	""Gold""",
