code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antidiabetic""	""group""",
"""962241000033112""",UNKNOWN,true,"""Neutral Insulin (Evans)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1052941000033117""",UNKNOWN,true,"""Human Mixtard 10  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1053041000033110""",UNKNOWN,true,"""Human Mixtard 20  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1053141000033114""",UNKNOWN,true,"""Human Mixtard 40  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1053241000033119""",UNKNOWN,true,"""Human Mixtard 50  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1053541000033117""",UNKNOWN,true,"""Human Mixtard 30  Injection (cartridges)  100 u/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1061641000033113""",UNKNOWN,true,"""Human Mixtard 30  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1061741000033116""",UNKNOWN,true,"""Human Mixtard 10  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1061841000033114""",UNKNOWN,true,"""Human Mixtard 20  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1061941000033118""",UNKNOWN,true,"""Human Mixtard 40  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1062041000033112""",UNKNOWN,true,"""Human Mixtard 50  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1119741000033114""",UNKNOWN,true,"""Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""06010102""	""Insulin""	""Insulin""",
"""1152741000033110""",UNKNOWN,true,"""Rapitard Mc (Novo)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1240741000033113""",UNKNOWN,true,"""Sabre Disposable  Insulin syringe  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1240841000033115""",UNKNOWN,true,"""Sabre Disposable  Insulin syringe  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1278041000033114""",UNKNOWN,true,"""Semi-Daonil 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glibenclamide""	""2.500mg""	NA	""Glibenclamide""	""Sulfonylureas""",
"""1415541000033116""",UNKNOWN,true,"""Terumo  Disposable insulin syringe  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1419541000033119""",UNKNOWN,true,"""Tempulin (Boots)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1450941000033113""",UNKNOWN,true,"""Tolbutamide 500mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Tolbutamide""	""500.000mg""	""06010201""	""Tolbutamide""	""Sulfonylureas""",
"""1480541000033110""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with not less than 12mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""21010900""	""Insulin""	""Insulin""",
"""1480641000033111""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.36 mm/28g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1480741000033119""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.4 mm/27g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""1480841000033112""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.45 mm/26g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
