code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Lipid regulating meds""",
"""8706""",UNKNOWN,true,"41320	""Modalim 100mg tablets (Sanofi)""	""Ciprofibrate""	""100mg""	""Oral tablet""	""Oral""	""Fibrates""	""Ciprofibrate""",
"""1764""",UNKNOWN,true,"61103	""Questran Light 4g oral powder sachets (Neon Healthcare Ltd)""	""Colestyramine""	""4gram""	""Powder for oral suspension""	""Oral""	""Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products""	""Colestyramine""",
"""62429""",UNKNOWN,true,"0	""Atorvastatin 20mg tablets (DE Pharmaceuticals)""	""Atorvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""60607""",UNKNOWN,true,"0	""Atorvastatin 80mg tablets (DE Pharmaceuticals)""	""Atorvastatin""	""80mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""57763""",UNKNOWN,true,"0	""Rosuvastatin 10mg tablets (Waymade Healthcare Plc)""	""Rosuvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Rosuvastatin""",
"""83279""",UNKNOWN,true,"0	""Rosuvastatin 5mg tablets (A A H Pharmaceuticals Ltd)""	""Rosuvastatin""	""5mg""	""Oral tablet""	""Oral""	""Statins""	""Rosuvastatin""",
"""90611""",UNKNOWN,true,"4	""Ezetimibe 10mg tablets (Krka UK Ltd)""	""Ezetimibe""	""10mg""	""Oral tablet""	""Oral""	""Ezetimibe""	""Ezetimibe""",
"""54266""",UNKNOWN,true,"25	""Simvastatin 20mg/5ml oral suspension""	""Simvastatin""	""4mg/1ml""	""Oral suspension""	""Oral""	""Statins""	""Simvastatin""",
"""54819""",UNKNOWN,true,"0	""Simvastatin 40mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)""	""Simvastatin""	""8mg/1ml""	""Oral suspension""	""Oral""	""Statins""	""Simvastatin""",
"""47630""",UNKNOWN,true,"59	""Lipitor 20mg chewable tablets (Viatris UK Healthcare Ltd)""	""Atorvastatin""	""20mg""	""Chewable tablet""	""Oral""	""Unknown""	""Atorvastatin""",
"""47935""",UNKNOWN,true,"0	""Fenofibrate 200mg Capsule (Teva UK Ltd)""	""Fenofibrate""	""200mg""	""Oral capsule""	""Oral""	""Fibrates""	""Fenofibrate""",
"""818""",UNKNOWN,true,"12420	""Simvastatin 20mg/5ml oral solution sugar free""	""Simvastatin""	""20mg/5ml""	""Oral Suspension Sugar-Free""	""Oral""	""Statins""	""Simvastatin""",
"""82528""",UNKNOWN,true,"49	""Lipantil Micro 267 capsules (Waymade Healthcare Plc)""	""Fenofibrate""	""267mg""	""Oral capsule""	""Oral""	""Fibrates""	""Fenofibrate""",
"""34316""",UNKNOWN,true,"1171	""Simvastatin 20mg tablets (Teva UK Ltd)""	""Simvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""64503""",UNKNOWN,true,"822	""Bezalip Mono 400mg modified-release tablets (Waymade Healthcare Plc)""	""Bezafibrate""	""400mg""	""Modified-release tablet""	""Oral""	""Fibrates""	""Bezafibrate""",
"""59278""",UNKNOWN,true,"0	""Fluvastatin 20mg capsules (Zentiva Pharma UK Ltd)""	""Fluvastatin""	""20mg""	""Oral capsule""	""Oral""	""Statins""	""Fluvastatin""",
"""85419""",UNKNOWN,true,"0	""Ciprofibrate 100mg tablets (Advanz Pharma)""	""Ciprofibrate""	""100mg""	""Oral tablet""	""Oral""	""Fibrates""	""Ciprofibrate""",
"""58110""",UNKNOWN,true,"8	""Atorvastatin 20mg tablets (Zentiva Pharma UK Ltd)""	""Atorvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
