code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""CleansedReadCode""	""Term""	""cat""",
"""547441000000118""",UNKNOWN,true,"""8I82.00""	""did not complete dafne diabetes structured education program""	""Type 1""",
"""1627291000006113""",UNKNOWN,true,"""8I83.00""	""did not complete desmond diabetes structured educat program""	""Type 2""",
"""1628311000006111""",UNKNOWN,true,"""8I84.00""	""did not complete xpert diabetes structured education program""	""Type 2""",
"""2283241000000113""",UNKNOWN,true,"""8I94.00""	""diabetes structured education programme not available""	""Unknown""",
"""1658941000000115""",UNKNOWN,true,"""8IAs.00""	""diabetic dietary review declined""	""Unknown""",
"""1759911000000118""",UNKNOWN,true,"""8IE2.00""	""diabetes care plan declined""	""Unknown""",
"""1868141000006110""",UNKNOWN,true,"""8IEa.00""	""referral to dafne diabetes structured educn prog declined""	""Type 1""",
"""2176771000000110""",UNKNOWN,true,"""8IEQ.00""	""referral to community diabetes specialist nurse declined""	""Unknown""",
"""2220161000000117""",UNKNOWN,true,"""8OA3.00""	""provision of written information about diabetes and driving""	""Unknown""",
"""2159854012""",UNKNOWN,true,"""918T.00""	""diabetes key contact""	""Unknown""",
"""2159969012""",UNKNOWN,true,"""9360.00""	""patient held diabetic record issued""	""Unknown""",
"""308071000000112""",UNKNOWN,true,"""93C4.00""	""patient consent given for addition to diabetic register""	""Unknown""",
"""2160025013""",UNKNOWN,true,"""9b92000""	""diabetic medicine""	""Unknown""",
"""139001000000110""",UNKNOWN,true,"""9h4..00""	""exception reporting: diabetes quality indicators""	""Unknown""",
"""931191000006110""",UNKNOWN,true,"""9h41.00""	""excepted from diabetes qual indicators: patient unsuitable""	""Unknown""",
"""139121000000119""",UNKNOWN,true,"""9h42.00""	""excepted from diabetes quality indicators: informed dissent""	""Unknown""",
"""1754911000006114""",UNKNOWN,true,"""9h43.00""	""excepted from diabetes qual indicators: service unavailable""	""Unknown""",
"""1704651000006111""",UNKNOWN,true,"""9m0..00""	""diabetic retinopathy screening administrative status""	""Unknown""",
"""730411000000115""",UNKNOWN,true,"""9m00.00""	""eligible for diabetic retinopathy screening""	""Unknown""",
"""189831000000116""",UNKNOWN,true,"""9M00.00""	""informed consent for diabetes national audit""	""Unknown""",
"""1704681000006115""",UNKNOWN,true,"""9m02.00""	""eligibility temporarily inactive for diabetic retinop screen""	""Unknown""",
"""1704691000006117""",UNKNOWN,true,"""9m03.00""	""eligibility permanently inactive for diabetic retinop screen""	""Unknown""",
"""737331000000117""",UNKNOWN,true,"""9m04.00""	""excluded from diabetic retinopathy screening""	""Unknown""",
"""736731000000118""",UNKNOWN,true,"""9m05.00""	""excluded from diabetic retinopathy screening as moved away""	""Unknown""",
"""736791000000117""",UNKNOWN,true,"""9m06.00""	""excluded from diabetic retinopathy screening as deceased""	""Unknown""",
"""1704731000006113""",UNKNOWN,true,"""9m07.00""	""excluded diabetc retinop screen as under care ophthalmolgist""	""Unknown""",
"""736911000000111""",UNKNOWN,true,"""9m08.00""	""excluded from diabetic retinopathy screening as blind""	""Unknown""",
"""1704781000006114""",UNKNOWN,true,"""9m0C.00""	""excluded frm diabetic retinopathy screen as terminal illness""	""Unknown""",
"""1704791000006112""",UNKNOWN,true,"""9m0D.00""	""excluded from diabetic retinopthy screen as learn disability""	""Unknown""",
"""1704801000006113""",UNKNOWN,true,"""9m0E.00""	""excluded from diabetic retinopathy screen physical disorder""	""Unknown""",
"""189841000000113""",UNKNOWN,true,"""9M10.00""	""informed dissent for diabetes national audit""	""Unknown""",
"""2549778010""",UNKNOWN,true,"""9N0m.00""	""seen in diabetic nurse consultant clinic""	""Unknown""",
"""2549069011""",UNKNOWN,true,"""9N0n.00""	""seen in community diabetes specialist clinic""	""Unknown""",
"""2549222013""",UNKNOWN,true,"""9N0o.00""	""seen in community diabetic specialist nurse clinic""	""Unknown""",
"""2159271018""",UNKNOWN,true,"""9N1i.00""	""seen in diabetic foot clinic""	""Unknown""",
"""300021000000110""",UNKNOWN,true,"""9N1o.00""	""seen in multidisciplinary diabetic clinic""	""Unknown""",
"""285223014""",UNKNOWN,true,"""9N1Q.00""	""seen in diabetic clinic""	""Unknown""",
"""457231013""",UNKNOWN,true,"""9N1v.00""	""seen in diabetic eye clinic""	""Unknown""",
"""1484875010""",UNKNOWN,true,"""9N2d.00""	""seen by diabetologist""	""Unknown""",
"""448261010""",UNKNOWN,true,"""9N2i.00""	""seen by diabetic liaison nurse""	""Unknown""",
"""1484954015""",UNKNOWN,true,"""9N4I.00""	""dna - did not attend diabetic clinic""	""Unknown""",
"""301191000000119""",UNKNOWN,true,"""9N4p.00""	""did not attend diabetic retinopathy clinic""	""Unknown""",
"""547191000000117""",UNKNOWN,true,"""9NiA.00""	""did not attend diabetes structured education programme""	""Unknown""",
"""548121000000116""",UNKNOWN,true,"""9NiC.00""	""did not attend dafne diabetes structured education programme""	""Type 1""",
"""1628621000006112""",UNKNOWN,true,"""9NiD.00""	""did not attend desmond diabetes structured education program""	""Type 2""",
"""548131000000119""",UNKNOWN,true,"""9NiE.00""	""did not attend xpert diabetes structured education programme""	""Type 2""",
"""1690631000000113""",UNKNOWN,true,"""9NiZ.00""	""did not attend diabetes foot screening""	""Unknown""",
"""2249831000000111""",UNKNOWN,true,"""9NJy.00""	""in-house diabetic foot screening""	""Unknown""",
"""456686014""",UNKNOWN,true,"""9NM0.00""	""attending diabetes clinic""	""Unknown""",
"""2159955012""",UNKNOWN,true,"""9NN8.00""	""under care of diabetologist""	""Unknown""",
"""2159956013""",UNKNOWN,true,"""9NN9.00""	""under care of diabetes specialist nurse""	""Unknown""",
"""2159958014""",UNKNOWN,true,"""9NND.00""	""under care of diabetic foot screener""	""Unknown""",
"""21631000000117""",UNKNOWN,true,"""9OL..00""	""diabetes monitoring admin.""	""Unknown""",
"""25261000000111""",UNKNOWN,true,"""9OL..11""	""diabetes clinic administration""	""Unknown""",
"""285751016""",UNKNOWN,true,"""9OL1.00""	""attends diabetes monitoring""	""Unknown""",
"""285752011""",UNKNOWN,true,"""9OL2.00""	""refuses diabetes monitoring""	""Unknown""",
"""285753018""",UNKNOWN,true,"""9OL3.00""	""diabetes monitoring default""	""Unknown""",
