code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""dmdcode""	""gemscriptcode""	""productname""	""drugsubstance""	""strength""	""formulation""	""route""	""bnfcode""	""bnfchapter""	""Statin""",
"""34545""",UNKNOWN,true,"134145001000027104	""65677020""	""Simvastatin 40mg Tablet (Ratiopharm UK Ltd)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34560""",UNKNOWN,true,"134055001000027104	""65668020""	""Simvastatin 10mg Tablet (Ratiopharm UK Ltd)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34746""",UNKNOWN,true,"136355001000027104	""65949020""	""Simvastatin 20mg Tablet (Niche Generics Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34814""",UNKNOWN,true,"4480511000001107	""65905020""	""Simvastatin 20mg tablets (Wockhardt UK Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34820""",UNKNOWN,true,"7977111000001100	""68205020""	""Pravastatin 40mg tablets (A A H Pharmaceuticals Ltd)""	""Pravastatin sodium""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Pravastatin""",
"""34879""",UNKNOWN,true,"136385001000027104	""65952020""	""Simvastatin 40mg Tablet (Niche Generics Ltd)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34891""",UNKNOWN,true,"4467111000001104	""65962020""	""Simvastatin 20mg tablets (Kent Pharmaceuticals Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34907""",UNKNOWN,true,"4480711000001102	""65910020""	""Simvastatin 40mg tablets (Wockhardt UK Ltd)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34955""",UNKNOWN,true,"4578011000001101	""65829020""	""Simvastatin 10mg tablets (A A H Pharmaceuticals Ltd)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34969""",UNKNOWN,true,"4437211000001100	""65939020""	""Simvastatin 40mg tablets (Actavis UK Ltd)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""36377""",UNKNOWN,true,"7943411000001102	""68275020""	""Pravastatin 20mg tablets (Teva UK Ltd)""	""Pravastatin sodium""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Pravastatin""",
