code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""SH""	""Group""",
"""57479""",UNKNOWN,true,"""ZX1L200""	""self-mutilation of genitalia""	1	""self harm""",
"""58039""",UNKNOWN,true,"""ZX1C.00""	""nipping self""	1	""self harm""",
"""58594""",UNKNOWN,true,"""U20A000""	""[x]intent self pois organ solvent,halogen hydrocarb, home""	1	""self harm""",
"""58605""",UNKNOWN,true,"""TK7z.00""	""suicide+selfinflicted injury-jump from high place nos""	1	""self harm""",
"""58831""",UNKNOWN,true,"""TN80.00""	""injury ?accidental, by jumping or lying before moving object""	1	""unknown intent""",
"""59405""",UNKNOWN,true,"""TKx0000""	""suicide + selfinflicted injury-jumping before moving object""	1	""self harm""",
"""59414""",UNKNOWN,true,"""U209z00""	""[x]intent self poison alcohol unspecif place""	1	""self harm""",
"""60404""",UNKNOWN,true,"""U221.00""	""[x]intent self harm by drowning/submersn occ resid instit'n""	1	""self harm""",
"""60559""",UNKNOWN,true,"""U204.13""	""[x]overdose - ssri""	1	""unknown intent""",
"""60684""",UNKNOWN,true,"""U2A1.00""	""[x]intent self harm by blunt object occ resident instit'n""	1	""self harm""",
"""60767""",UNKNOWN,true,"""TK3z.00""	""suicide + selfinflicted inj by hang/strangle/suffocate nos""	1	""self harm""",
"""61113""",UNKNOWN,true,"""TK72.00""	""suicide+selfinflicted injury-jump from natural sites""	1	""self harm""",
"""61177""",UNKNOWN,true,"""U2zz.00""	""[x]intent self harm by unspecif means occ at unspecif place""	1	""self harm""",
"""61190""",UNKNOWN,true,"""U409z00""	""[x]pois/expos ?intent to alcohol unspecif place""	1	""unknown intent""",
"""61426""",UNKNOWN,true,"""TN8..00""	""injury ?accidental, by other means""	1	""unknown intent""",
"""61541""",UNKNOWN,true,"""U408z00""	""[x]pois/expos ?intent to oth/unsp drug/medic unspecif place""	1	""unknown intent""",
"""61546""",UNKNOWN,true,"""U20y200""	""[x]int self poison unspecif chemical school/pub admin area""	1	""self harm""",
"""61569""",UNKNOWN,true,"""TK70.00""	""suicide+selfinflicted injury-jump from residential premises""	1	""self harm""",
"""61609""",UNKNOWN,true,"""U4y3.00""	""[x]oth specif event undetermin intent occ sport/athlet area""	1	""unknown intent""",
"""61618""",UNKNOWN,true,"""TK2..00""	""suicide + selfinflicted poisoning by other gases and vapours""	1	""self harm""",
"""62034""",UNKNOWN,true,"""U722.00""	""[x]sequelae of events of undetermined intent""	1	""unknown intent""",
"""62314""",UNKNOWN,true,"""TN04.00""	""injury ?accidental, poisoning by other spec drug/medicament""	1	""unknown intent""",
"""62382""",UNKNOWN,true,"""ZX1K.00""	""self-incineration""	1	""self harm""",
"""62444""",UNKNOWN,true,"""U40y400""	""[x]pois/expos ?intent unspecif chemical in street/highway""	1	""unknown intent""",
"""62445""",UNKNOWN,true,"""U40B400""	""[x]pois/expos ?intent other gas/vapour in street/highway""	1	""unknown intent""",
"""62634""",UNKNOWN,true,"""U405.00""	""[x]poisoning/exposure, ? intent, to narcotic drug""	1	""unknown intent""",
"""62950""",UNKNOWN,true,"""U208000""	""[x]int self poison/exposure to oth/unsp drug/medicam home""	1	""self harm""",
"""63074""",UNKNOWN,true,"""U2A..00""	""[x]intentional self harm by blunt object""	1	""self harm""",
"""63099""",UNKNOWN,true,"""U2C4.00""	""[x]int self harm jump/lying befr mov obje occ street/highway""	1	""self harm""",
"""63100""",UNKNOWN,true,"""U274.00""	""[x]intent self harm by smoke fire/flame occ street/highway""	1	""self harm""",
"""63222""",UNKNOWN,true,"""U400.00""	""[x]poisoning/exposure, ? intent, to nonopioid analgesic""	1	""unknown intent""",
"""63483""",UNKNOWN,true,"""U4A5.00""	""[x]contct wth blunt obj undet intent occ trade/service area""	1	""unknown intent""",
"""63800""",UNKNOWN,true,"""TN0..00""	""injury ?accidental, poisoning by solid/liquid substances""	1	""unknown intent""",
"""63983""",UNKNOWN,true,"""TN07.00""	""injury ?accidental, poisoning by agricultural chemicals""	1	""unknown intent""",
"""64200""",UNKNOWN,true,"""ZX1L600""	""self-mutilation of ears""	1	""self harm""",
"""64227""",UNKNOWN,true,"""ZX1K.11""	""setting fire to self""	1	""self harm""",
"""64331""",UNKNOWN,true,"""ZX1E.00""	""pinching self""	1	""self harm""",
"""64364""",UNKNOWN,true,"""U20Bz00""	""[x]intent self poison other gas/vapour unspecif place""	1	""self harm""",
"""64410""",UNKNOWN,true,"""U211.00""	""[x]intent self harm by hangng strangult/suffoct resid instit""	1	""self harm""",
"""64744""",UNKNOWN,true,"""TKx5.00""	""suicide and selfinflicted injury by crashing motor vehicle""	1	""self harm""",
"""64805""",UNKNOWN,true,"""U4zz.00""	""[x]unspecif event undeterm intent occurrn unspecif place""	1	""unknown intent""",
"""65272""",UNKNOWN,true,"""U40A300""	""[x]pois/exp ?intent org solvent,halogen hydrocarb,sport area""	1	""unknown intent""",
"""65309""",UNKNOWN,true,"""TK54.00""	""suicide and selfinflicted injury by other firearm""	1	""self harm""",
"""65448""",UNKNOWN,true,"""TK6z.00""	""suicide and selfinflicted injury by cutting and stabbing nos""	1	""self harm""",
