code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""	""period""",
"""53167""",UNKNOWN,true,"""L188300""	38	0	0	0	""abnormal gtt during pregnancy - baby not yet delivered""	""February 2009""	""unspecified""",
"""109697""",UNKNOWN,true,"""6556.00""	17225	73577	1	1	""pertussis vaccination in pregnancy""	""June 2015""	""unspecified""",
"""85961""",UNKNOWN,true,"""44Cy.00""	8	0	0	9506	""serum pregnancy associated plasma protein-a mom measurement""	""February 2009""	""unspecified""",
"""17893""",UNKNOWN,true,"""62Q..00""	5830	0	18	0	""postnatal care provider""	""February 2009""	""postnatal""",
"""22385""",UNKNOWN,true,"""Z22C300""	1235	0	1	2	""length of gestation""	""February 2009""	""unspecified""",
"""12012""",UNKNOWN,true,"""L36..11""	1044	0	40	0	""bleeding postpartum""	""February 2009""	""postnatal""",
"""100833""",UNKNOWN,true,"""L244200""	4	0	0	0	""other uterine/pelvic floor abn - delivered+postpartum compl""	""November 2010""	""postnatal""",
"""72183""",UNKNOWN,true,"""L246200""	1	0	1	0	""other cervical abnormality - baby delivered+postpartum compl""	""February 2009""	""postnatal""",
"""64247""",UNKNOWN,true,"""Z235.00""	27	0	1	0	""observation of shape of pregnant abdomen""	""February 2009""	""early pregnancy""",
"""16320""",UNKNOWN,true,"""L11z100""	110	0	4	0	""antepartum haemorrhage nos - delivered""	""February 2009""	""late pregnancy""",
"""20307""",UNKNOWN,true,"""L091.00""	374	0	104	0	""delayed/excessive haemorrhage following abortive pregnancy""	""February 2009""	""unspecified""",
"""37163""",UNKNOWN,true,"""L150z00""	3	0	1	0	""post-term pregnancy nos""	""February 2009""	""late pregnancy""",
"""94473""",UNKNOWN,true,"""L211z00""	5	0	0	0	""triplet pregnancy nos""	""February 2009""	""unspecified""",
"""47508""",UNKNOWN,true,"""7F1A.00""	222	0	0	0	""other methods of delivery""	""February 2009""	""postnatal""",
"""30775""",UNKNOWN,true,"""62B8.00""	4086	0	78	0	""midwife unit delivery booking""	""February 2009""	""postnatal""",
"""114794""",UNKNOWN,true,"""L352100""	1	0	0	0	""obstetric inversion of uterus - delivered with p/n problem""	""April 2020""	""unspecified""",
"""61552""",UNKNOWN,true,"""L360000""	27	0	0	0	""third-stage postpartum haemorrhage unspecified""	""February 2009""	""postnatal""",
"""101334""",UNKNOWN,true,"""8HQ2000""	127	0	429	0	""referral for obstetric ultrasound scan""	""January 2011""	""unspecified""",
"""47373""",UNKNOWN,true,"""L411612""	16	0	1	0	""vaginal varices in the puerperium""	""February 2009""	""postnatal""",
"""16250""",UNKNOWN,true,"""L414.12""	22	0	4	2	""phlegmasia alba dolens - obstetric""	""February 2009""	""unspecified""",
"""18830""",UNKNOWN,true,"""L414.11""	441	0	8	0	""dvt - deep venous thrombosis, postnatal""	""February 2009""	""postnatal""",
"""74888""",UNKNOWN,true,"""Lyu3B00""	3	0	0	0	""[x]other disorders of amniotic fluid and membranes""	""February 2009""	""late pregnancy""",
"""47489""",UNKNOWN,true,"""Z22A800""	57	0	2	0	""undiagnosed pregnancy""	""February 2009""	""unspecified""",
"""104705""",UNKNOWN,true,"""8CL4.00""	350	0	5	3	""discussion about ectopic pregnancy risk""	""August 2012""	""unspecified""",
"""106481""",UNKNOWN,true,"""L113100""	6	0	0	0	""antepartum haemorrhage with coagulation defect - delivered""	""August 2013""	""late pregnancy""",
"""65395""",UNKNOWN,true,"""K181.11""	1	0	0	0	""postobstetric urethral stricture""	""February 2009""	""unspecified""",
"""6452""",UNKNOWN,true,"""L395.00""	142116	0	163	0	""forceps delivery""	""February 2009""	""postnatal""",
"""14085""",UNKNOWN,true,"""62GB.00""	16	0	3	1204	""antenatal ultrasounds scan at 4-8 weeks""	""February 2009""	""8""",
"""1668""",UNKNOWN,true,"""L182500""	16971	0	72	18	""iron deficiency anaemia of pregnancy""	""February 2009""	""unspecified""",
"""49269""",UNKNOWN,true,"""L432.00""	3	0	0	0	""obstetric blood-clot pulmonary embolism""	""February 2009""	""unspecified""",
"""61576""",UNKNOWN,true,"""L211000""	3	0	0	0	""triplet pregnancy unspecified""	""February 2009""	""unspecified""",
"""28446""",UNKNOWN,true,"""Lz...00""	2069	0	8	0	""complications of pregnancy,childbirth and the puerperium nos""	""February 2009""	""postnatal""",
"""239""",UNKNOWN,true,"""L20..11""	828008	0	3959	0	""spontaneous vaginal delivery""	""February 2009""	""postnatal""",
"""25501""",UNKNOWN,true,"""Z22A100""	85	0	3	0	""low risk pregnancy""	""February 2009""	""unspecified""",
"""54127""",UNKNOWN,true,"""Z255.00""	1	0	0	0	""observation of second stage of labour""	""February 2009""	""postnatal""",
"""95858""",UNKNOWN,true,"""L34y100""	2	0	0	0	""other vulval/perineal trauma during delivery- delivered""	""February 2009""	""postnatal""",
"""113992""",UNKNOWN,true,"""Z255G00""	1	0	0	0	""urge to push in labour""	""July 2019""	""postnatal""",
"""96415""",UNKNOWN,true,"""L111000""	20	0	0	0	""placenta praevia with haemorrhage unspecified""	""April 2009""	""late pregnancy""",
"""111572""",UNKNOWN,true,"""L29y100""	1	0	0	0	""other problems affecting labour - delivered""	""December 2016""	""postnatal""",
"""47155""",UNKNOWN,true,"""Q12..00""	32	0	0	0	""disorders relating to long gestation and high birthweight""	""February 2009""	""unspecified""",
"""42326""",UNKNOWN,true,"""62KZ.00""	127	0	0	460	""antenatal syphilis screen nos""	""February 2009""	""early pregnancy""",
"""90294""",UNKNOWN,true,"""Z262B00""	4	0	1	0	""lesion of placenta""	""February 2009""	""late pregnancy""",
"""18930""",UNKNOWN,true,"""ZV7y400""	23	0	1	1	""[v]postnatal screening for chromosomal anomalies""	""February 2009""	""postnatal""",
"""112710""",UNKNOWN,true,"""L432z00""	3	0	0	0	""obstetric blood-clot pulmonary embolism nos""	""May 2018""	""unspecified""",
"""47153""",UNKNOWN,true,"""Z264500""	20	0	0	0	""reduced amniotic fluid""	""February 2009""	""late pregnancy""",
"""105592""",UNKNOWN,true,"""4445100""	1	0	0	0	""placental function test abnormal""	""January 2013""	""late pregnancy""",
"""100068""",UNKNOWN,true,"""7F08000""	3	0	0	0	""percutan laser ablation placental arterio-venous anastomosis""	""July 2010""	""late pregnancy""",
"""114257""",UNKNOWN,true,"""L350100""	2	0	0	0	""rupture of uterus before labour - delivered""	""November 2019""	""postnatal""",
"""18536""",UNKNOWN,true,"""62b..00""	3730	0	1	6007	""antenatal hiv screening""	""February 2009""	""early pregnancy""",
"""18702""",UNKNOWN,true,"""6G00.00""	3428	0	166	0	""postnatal depression counselling""	""February 2009""	""postnatal""",
"""40633""",UNKNOWN,true,"""Z22A600""	64	0	4	0	""teenage pregnancy""	""February 2009""	""unspecified""",
"""116367""",UNKNOWN,true,"""Z255100""	1	0	0	0	""second stage of labour established""	""August 2023""	""postnatal""",
"""19602""",UNKNOWN,true,"""L341000""	641	0	0	0	""second degree perineal tear during delivery, unspecified""	""February 2009""	""postnatal""",
"""52669""",UNKNOWN,true,"""Q031200""	9	0	0	0	""fetus/neonate affect persistent occip-posterior - labour/del""	""February 2009""	""postnatal""",
"""29070""",UNKNOWN,true,"""7F15000""	422	0	2	0	""spontaneous breech delivery""	""February 2009""	""postnatal""",
"""104440""",UNKNOWN,true,"""4Q3N.00""	15	0	0	1553	""pregnancy associated plasma protein a level""	""June 2012""	""unspecified""",
"""45413""",UNKNOWN,true,"""L263A11""	56	0	5	0	""maternal care for reduced fetal heart rate during pregnancy""	""February 2009""	""unspecified""",
"""14994""",UNKNOWN,true,"""6174.00""	2986	0	180	0	""pregnant, sheath failure""	""February 2009""	""early pregnancy""",
"""67640""",UNKNOWN,true,"""L440000""	12	0	0	0	""puerperal cerebrovascular disorder unspecified""	""February 2009""	""postnatal""",
"""5479""",UNKNOWN,true,"""Q212.00""	236	0	9	2	""liveborn with prelabour fetal distress""	""February 2009""	""postnatal""",
"""89656""",UNKNOWN,true,"""L28y100""	1	0	0	0	""other problem of amniotic cavity and membranes - delivered""	""February 2009""	""late pregnancy""",
"""94991""",UNKNOWN,true,"""Z262800""	2	0	0	0	""observation of form of placenta""	""February 2009""	""late pregnancy""",
"""24170""",UNKNOWN,true,"""L15..00""	42	0	8	0	""prolonged or post-term pregnancy""	""February 2009""	""late pregnancy""",
"""113916""",UNKNOWN,true,"""ZV23500""	1	0	0	0	""[v]pregnancy with other poor reproductive history""	""July 2019""	""unspecified""",
"""27671""",UNKNOWN,true,"""L400z00""	92	0	0	0	""puerperal endometritis nos""	""February 2009""	""postnatal""",
"""47036""",UNKNOWN,true,"""Z288.00""	3	0	1	0	""problem of pelvis for delivery""	""February 2009""	""postnatal""",
"""27833""",UNKNOWN,true,"""L13y.00""	124	0	0	0	""other pregnancy vomiting""	""February 2009""	""unspecified""",
"""63835""",UNKNOWN,true,"""L247z11""	4	0	0	0	""septate vagina in pregnancy/childbirth/puerperium nos""	""February 2009""	""postnatal""",
"""109523""",UNKNOWN,true,"""L307000""	38	0	0	0	""other failed trial of labour unspecified""	""April 2015""	""postnatal""",
"""19605""",UNKNOWN,true,"""L341z00""	642	0	0	0	""second degree perineal tear during delivery nos""	""February 2009""	""postnatal""",
"""99475""",UNKNOWN,true,"""68b5.00""	20	0	0	0	""antenatal screening result pending""	""May 2010""	""early pregnancy""",
"""73569""",UNKNOWN,true,"""L43z.00""	8	0	0	0	""obstetric pulmonary embolism nos""	""February 2009""	""unspecified""",
"""99136""",UNKNOWN,true,"""Q021200""	3	0	0	0	""fetus/neonate affected by placental damage-amniocentesis""	""April 2010""	""late pregnancy""",
"""41626""",UNKNOWN,true,"""L4y..00""	34	0	0	0	""other specified complications of the puerperium""	""February 2009""	""postnatal""",
"""7174""",UNKNOWN,true,"""L43..00""	320	0	6	0	""obstetric pulmonary embolism""	""February 2009""	""unspecified""",
"""112128""",UNKNOWN,true,"""L171z00""	1	0	0	0	""maternal gonorrhoea in pregnancy/childbirth/puerperium nos""	""September 2017""	""postnatal""",
"""38782""",UNKNOWN,true,"""L265.11""	134	0	1	0	""placental insufficiency""	""February 2009""	""late pregnancy""",
"""112700""",UNKNOWN,true,"""L13y100""	1	0	0	0	""other pregnancy vomiting - delivered""	""May 2018""	""unspecified""",
"""102969""",UNKNOWN,true,"""Q213200""	12	0	0	0	""liveborn with labour meconium in liquor""	""September 2011""	""postnatal""",
"""55338""",UNKNOWN,true,"""L123000""	76	0	3	0	""transient hypertension of pregnancy unspecified""	""February 2009""	""unspecified""",
"""73394""",UNKNOWN,true,"""4H23.00""	0	0	0	19	""amniotic fluid -meconium stain""	""February 2009""	""late pregnancy""",
"""13168""",UNKNOWN,true,"""62NZ.00""	87629	0	13	1	""antenatal examination nos""	""February 2009""	""early pregnancy""",
"""57945""",UNKNOWN,true,"""7F17200""	4	0	0	0	""vacuum delivery before full dilation of cervix""	""February 2009""	""postnatal""",
"""72022""",UNKNOWN,true,"""L343000""	33	0	0	0	""fourth degree perineal tear during delivery, unspecified""	""February 2009""	""postnatal""",
"""116559""",UNKNOWN,true,"""8HKN.00""	0	0	1	0	""obstetric d.v. requested""	""May 2024""	""unspecified""",
