code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""Antidiabetic""	""group""	""database""",
"""758341000033117""",UNKNOWN,true,"""Insulin Syringe  Click-count  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""758441000033111""",UNKNOWN,true,"""Insulin Syringe  Disposable  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""758541000033112""",UNKNOWN,true,"""Insulin Syringe  Disposable  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""759841000033115""",UNKNOWN,true,"""Insulin Zinc Suspension (Human)  Injection  100 units/ml, 10 ml vial""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""762441000033118""",UNKNOWN,true,"""Insulin lispro 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""763341000033116""",UNKNOWN,true,"""Pork Insulatard 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""763941000033117""",UNKNOWN,true,"""Insulin Zinc Suspension  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""764941000033119""",UNKNOWN,true,"""Insulin Zinc Suspension Lente (Evans)  Injection  100u/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""766241000033115""",UNKNOWN,true,"""Insulin Syringe  Pre-set  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""766741000033114""",UNKNOWN,true,"""Insulin Syringe  Re-usable  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""766841000033116""",UNKNOWN,true,"""Insulin Syringe  Re-usable  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""776041000033117""",UNKNOWN,true,"""Isophane Insulin (Human, Prb)  Cartridges  100 units/ml""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""779141000033111""",UNKNOWN,true,"""Insulin isophane human 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""779641000033118""",UNKNOWN,true,"""Isophane Insulin Injection (Evans)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""779841000033117""",UNKNOWN,true,"""Isophane Insulin  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""823541000033119""",UNKNOWN,true,"""Lentard Mc  Injection  100 units/ml, 10 ml vial""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""896941000033112""",UNKNOWN,true,"""Metformin 500mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""500.000mg""	""Metformin""	""Metformin""	""Aurum""",
"""897041000033113""",UNKNOWN,true,"""Metformin 850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""850.000mg""	""Metformin""	""Metformin""	""Aurum""",
"""915641000033117""",UNKNOWN,true,"""Pork Mixtard 30 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""920141000033112""",UNKNOWN,true,"""Minodiab 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glipizide""	""2.500mg""	""Glipizide""	""Sulfonylureas""	""Aurum""",
"""920241000033117""",UNKNOWN,true,"""Minodiab 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glipizide""	""5.000mg""	""Glipizide""	""Sulfonylureas""	""Aurum""",
"""924541000033112""",UNKNOWN,true,"""Monoject hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.36mm/28gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""926541000033117""",UNKNOWN,true,"""Monotard Mc Insulin Zinc Susp Bp Nova  Injection  100 units/1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""961041000033114""",UNKNOWN,true,"""Neutral Insulin  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""961141000033113""",UNKNOWN,true,"""Neutral Insulin (Human)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""962241000033112""",UNKNOWN,true,"""Neutral Insulin (Evans)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1052941000033117""",UNKNOWN,true,"""Human Mixtard 10  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1053041000033110""",UNKNOWN,true,"""Human Mixtard 20  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1053141000033114""",UNKNOWN,true,"""Human Mixtard 40  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1053241000033119""",UNKNOWN,true,"""Human Mixtard 50  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1053541000033117""",UNKNOWN,true,"""Human Mixtard 30  Injection (cartridges)  100 u/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1061641000033113""",UNKNOWN,true,"""Human Mixtard 30  Preloaded pen""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1061741000033116""",UNKNOWN,true,"""Human Mixtard 10  Preloaded pen""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1061841000033114""",UNKNOWN,true,"""Human Mixtard 20  Preloaded pen""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1061941000033118""",UNKNOWN,true,"""Human Mixtard 40  Preloaded pen""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1062041000033112""",UNKNOWN,true,"""Human Mixtard 50  Preloaded pen""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1119741000033114""",UNKNOWN,true,"""Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1152741000033110""",UNKNOWN,true,"""Rapitard Mc (Novo)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1240741000033113""",UNKNOWN,true,"""Sabre Disposable  Insulin syringe  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1240841000033115""",UNKNOWN,true,"""Sabre Disposable  Insulin syringe  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1278041000033114""",UNKNOWN,true,"""Semi-Daonil 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glibenclamide""	""2.500mg""	""Glibenclamide""	""Sulfonylureas""	""Aurum""",
"""1415541000033116""",UNKNOWN,true,"""Terumo  Disposable insulin syringe  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1419541000033119""",UNKNOWN,true,"""Tempulin (Boots)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
