code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Psychotropic""	""group""",
"""473341000033117""",UNKNOWN,true,"""Doxepin 75mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Doxepin""	""75.000mg""	""04030100""	""Doxepin""	""Antidepressants""",
"""476541000033119""",UNKNOWN,true,"""Dozic 5mg/5ml oral solution""	""Oral solution""	""Oral""	""Haloperidol""	""1.000mg/1.000ml""	NA	""Haloperidol""	""Antipsychotics""",
"""476641000033118""",UNKNOWN,true,"""Dozic  Liquid  2mg/ml""	NA	NA	""Haloperidol""	NA	NA	""Haloperidol""	""Antipsychotics""",
"""479641000033111""",UNKNOWN,true,"""Dothapax 75 tablets""	""Tablet/ Oral Tablet""	""Oral""	""Dosulepin""	""75.000mg""	NA	""Dosulepin""	""Antidepressants""",
"""479841000033112""",UNKNOWN,true,"""Dolmatil 400mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Sulpiride""	""400.000mg""	NA	""Sulpiride""	""Antipsychotics""",
"""480941000033116""",UNKNOWN,true,"""Dolmatil 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Sulpiride""	""200.000mg""	NA	""Sulpiride""	""Antipsychotics""",
"""483141000033112""",UNKNOWN,true,"""Droperidol  Injection  5mg/ml""	""Solution for injection""	""Intramuscular""	""Droperidol""	NA	NA	""Droperidol""	""Antipsychotics""",
"""483341000033110""",UNKNOWN,true,"""Droleptan  Injection  5mg/ml""	""Solution for injection""	""Intramuscular""	""Droperidol""	NA	NA	""Droperidol""	""Antipsychotics""",
"""483541000033115""",UNKNOWN,true,"""Droperidol  Liquid  1mg/ml""	NA	NA	""Droperidol""	NA	NA	""Droperidol""	""Antipsychotics""",
"""483641000033119""",UNKNOWN,true,"""Droleptan  Liquid  1mg/ml""	NA	NA	""Droperidol""	NA	NA	""Droperidol""	""Antipsychotics""",
"""484641000033117""",UNKNOWN,true,"""Droleptan  Tablets  10 mg""	""Tablet""	""Oral""	""Droperidol""	NA	NA	""Droperidol""	""Antipsychotics""",
"""485041000033112""",UNKNOWN,true,"""Droperidol  Tablets  10 mg""	""Tablet""	""Oral""	""Droperidol""	NA	NA	""Droperidol""	""Antipsychotics""",
"""489741000033113""",UNKNOWN,true,"""Dutonin 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Nefazodone""	""100.000mg""	NA	""Nefazodone""	""Antidepressants""",
"""489841000033115""",UNKNOWN,true,"""Dutonin 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Nefazodone""	""200.000mg""	NA	""Nefazodone""	""Antidepressants""",
"""496741000033118""",UNKNOWN,true,"""Edronax 4mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Reboxetine""	""4.000mg""	NA	""Reboxetine""	""Antidepressants""",
"""498441000033112""",UNKNOWN,true,"""Efexor XL 75mg capsules""	""Modified-release capsule""	""Oral""	""Venlafaxine""	""75.000mg""	NA	""Venlafaxine""	""Antidepressants""",
"""498541000033113""",UNKNOWN,true,"""Efexor XL 150mg capsules""	""Modified-release capsule""	""Oral""	""Venlafaxine""	""150.000mg""	NA	""Venlafaxine""	""Antidepressants""",
"""498941000033119""",UNKNOWN,true,"""Efalith ointment""	""Ointment/ Cutaneous ointment""	""Cutaneous""	""Lithium""	""80.000mg/1.000gram + 500.000microgram/1.000gram""	NA	""Lithium""	""Mood Stabilisers""",
"""499041000033111""",UNKNOWN,true,"""Efexor 37.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Venlafaxine""	""37.500mg""	NA	""Venlafaxine""	""Antidepressants""",
"""499141000033110""",UNKNOWN,true,"""Efexor 75mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Venlafaxine""	""75.000mg""	NA	""Venlafaxine""	""Antidepressants""",
"""499241000033115""",UNKNOWN,true,"""Efexor 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Venlafaxine""	""50.000mg""	NA	""Venlafaxine""	""Antidepressants""",
"""529541000033117""",UNKNOWN,true,"""Epilim Intravenous 400mg powder and solvent for solution for injection vials""	""Powder and solvent for solution for injection""	""Intravenous""	""Valproate""	""400.000mg""	NA	""Valproate""	""Mood Stabilisers""",
"""529641000033116""",UNKNOWN,true,"""Epilim 200mg/5ml liquid""	""Oral solution""	""Oral""	""Valproate""	""40.000mg/1.000ml""	NA	""Valproate""	""Mood Stabilisers""",
"""529841000033115""",UNKNOWN,true,"""Epilim Chrono 200 tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""200.000mg""	NA	""Valproate""	""Mood Stabilisers""",
"""529941000033111""",UNKNOWN,true,"""Epilim Chrono 300 tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""300.000mg""	NA	""Valproate""	""Mood Stabilisers""",
"""530041000033115""",UNKNOWN,true,"""Epilim Chrono 500 tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""500.000mg""	NA	""Valproate""	""Mood Stabilisers""",
"""532141000033115""",UNKNOWN,true,"""Epilim 200mg/5ml syrup""	""Oral solution""	""Oral""	""Valproate""	""40.000mg/1.000ml""	NA	""Valproate""	""Mood Stabilisers""",
"""532541000033112""",UNKNOWN,true,"""Epilim 100mg crushable tablets""	""Tablet/ Oral Tablet""	""Oral""	""Valproate""	""100.000mg""	NA	""Valproate""	""Mood Stabilisers""",
"""532641000033113""",UNKNOWN,true,"""Epilim 200 gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""200.000mg""	NA	""Valproate""	""Mood Stabilisers""",
"""532741000033116""",UNKNOWN,true,"""Epilim 500 gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""500.000mg""	NA	""Valproate""	""Mood Stabilisers""",
"""561941000033115""",UNKNOWN,true,"""Faverin 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Fluvoxamine""	""100.000mg""	NA	""Fluvoxamine""	""Antidepressants""",
"""563341000033115""",UNKNOWN,true,"""Faverin 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Fluvoxamine""	""50.000mg""	NA	""Fluvoxamine""	""Antidepressants""",
"""567141000033111""",UNKNOWN,true,"""Fentazin  Injection  5 mg/ml""	""Solution for injection""	""Intramuscular""	""Perphenazine""	NA	NA	""Perphenazine""	""Antipsychotics""",
"""570941000033117""",UNKNOWN,true,"""Fentazin 2mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Perphenazine""	""2.000mg""	NA	""Perphenazine""	""Antipsychotics""",
"""571041000033110""",UNKNOWN,true,"""Fentazin 4mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Perphenazine""	""4.000mg""	NA	""Perphenazine""	""Antipsychotics""",
"""571141000033114""",UNKNOWN,true,"""Fentazin  Tablets  8 mg""	""Tablet""	""Oral""	""Perphenazine""	NA	NA	""Perphenazine""	""Antipsychotics""",
"""577841000033114""",UNKNOWN,true,"""Fluoxetine 20mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Fluoxetine""	""20.000mg""	""04030300""	""Fluoxetine""	""Antidepressants""",
"""579041000033111""",UNKNOWN,true,"""Fluoxetine 60mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Fluoxetine""	""60.000mg""	""04030300""	""Fluoxetine""	""Antidepressants""",
"""582041000033112""",UNKNOWN,true,"""Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	""04020200""	""Fluphenazine""	""Antipsychotics""",
"""582141000033111""",UNKNOWN,true,"""Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	""04020200""	""Fluphenazine""	""Antipsychotics""",
