"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"anticoagulants"
"79892"	0	"Dalteparin sodium 18,000units/0.72ml solution for injection pre-filled syringes (J M McGill Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"14794"	76	"Monoparin 1000iu/ml Injection (C P Pharmaceuticals Ltd)"	"Heparin"	"1000iu/ml"	"Injection"	"Intravenous Injection"	"Parenteral Anticoagulants"	"Heparin"
"10936"	331	"HEPARIN SODIUM B.P. 5000 I/U INJ"	"Heparin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Heparin"
"87596"	46	"Heparin sodium 50units/5ml I.V. flush solution ampoules (Kent Pharma (UK) Ltd)"	"Heparin"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	"Catheter Maintenance Solutions"	"Heparin"
"38044"	180	"Warfarin 5mg/5ml oral solution"	"Warfarin"	"1mg/1ml"	"Oral solution"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"10532"	418	"Minihep calcium 5000iu/0.2ml Injection (LEO Pharma)"	"Heparin"	"5000iu/0.2ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"65496"	0	"Warfarin 500microgram tablets (Phoenix Healthcare Distribution Ltd)"	"Warfarin"	"500microgram"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"26146"	1	"Heparin low molecular weight 10,000 iu/ml Sterile solution"	"Dalteparin/Heparin"	"10,000 iu/ml"	"Sterile Solution"	NA	"Parenteral Anticoagulants"	"Dalteparin/Heparin"
"71303"	107	"Rivaroxaban 15mg tablets and Rivaroxaban 20mg tablets"	"Rivaroxaban"	NA	"Not applicable"	"Route of administration not applicable"	"Novel Oral Anticoagulants (Noacs)"	"Rivaroxaban"
"32511"	6	"Tinzaparin 5000 i.u./5ml Sterile solution"	"Tinzaparin"	"5000 i.u./5ml"	"Sterile Solution"	NA	"Parenteral Anticoagulants"	"Tinzaparin"
"65462"	7	"Heparin sodium 50units/5ml I.V. flush solution ampoules (LEO Pharma)"	"Heparin"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	"Catheter Maintenance Solutions"	"Heparin"
"36196"	194	"Heparin sodium 1,000units/1ml solution for injection ampoules"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"10469"	981	"Canusal 200units/2ml patency solution ampoules (Wockhardt UK Ltd)"	"Heparin"	"100unit/1ml"	"Not applicable"	"Route of administration not applicable"	"Catheter Maintenance Solutions"	"Heparin"
"48869"	5333	"Warfarin 1mg/ml oral suspension sugar free"	"Warfarin"	"1mg/1ml"	"Oral suspension"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"73642"	0	"Warfarin 1mg tablets (Zentiva Pharma UK Ltd)"	"Warfarin"	"1mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"87607"	0	"Apixaban 5mg tablets (Teva UK Ltd)"	"Apixaban"	"5mg"	"Oral tablet"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Apixaban"
"29207"	3	"Innohep 5000iu/0.5ml Sterile solution (LEO Pharma)"	"Tinzaparin"	"5000iu/0.5ml"	"Sterile Solution"	NA	"Parenteral Anticoagulants"	"Tinzaparin"
"20754"	1	"WARFARIN"	"Warfarin"	NA	NA	NA	"Unknown"	"Warfarin"
"8467"	43042	"Marevan 3mg tablets (Advanz Pharma)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"73212"	28	"Enoxaparin Becat 100mg/1ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"92269"	1	"Rivaroxaban 5mg/ml oral suspension sugar free"	"Rivaroxaban"	"5mg/1ml"	"Oral suspension"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Rivaroxaban"
"6860"	13851	"Fragmin 15,000units/0.6ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"10449"	208	"HEPARIN CALCIUM B.P. INJ"	"Heparin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Heparin"
"10170"	23536	"Dalteparin sodium 15,000units/0.6ml solution for injection pre-filled syringes"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"9593"	603	"Dalteparin 25000iu/ml injection solution"	"Dalteparin"	"25000 iu/ml"	"Injection Solution"	"Intramuscular"	"Parenteral Anticoagulants"	"Dalteparin"
"40715"	24	"Heparin 100iu/ml Oral solution (LEO Pharma)"	"Heparin"	"100iu/ml"	"Oral Solution"	"Oral"	"Parenteral Anticoagulants"	"Heparin"
"30396"	17	"Unihep leo 5000iu/ml Injection (LEO Pharma)"	"Heparin"	"5000iu/ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"76422"	2	"Heparin sodium 5,000units/5ml solution for injection ampoules (LEO Pharma)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"72394"	61	"Enoxaparin Becat 40mg/0.4ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"35955"	21	"Calciparine 5,000units/0.2ml solution for injection pre-filled syringes (Sanofi-Synthelabo Ltd)"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Unknown"	"Heparin"
"82821"	2	"Flolan 500microgram powder and solvent for solution for infusion vials (GlaxoSmithKline UK Ltd)"	"Epoprostenol"	"500microgram"	"Powder and solvent for solution for infusion"	"Intravenous"	"Parenteral Anticoagulants"	"Epoprostenol"
"38839"	6	"Arixtra 5mg/0.4ml solution for injection pre-filled syringes (Viatris UK Healthcare Ltd)"	"Fondaparinux"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Fondaparinux"
"57032"	1	"Warfarin 1mg/ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)"	"Warfarin"	"1mg/1ml"	"Oral suspension"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"13501"	2002	"Dindevan 50mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Phenindione"	"50mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Phenindione"
"55577"	0	"Sinthrome 1mg tablets (Lexon (UK) Ltd)"	"Acenocoumarol"	"1mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Acenocoumarol"
"86249"	0	"Clexane 40mg/0.4ml solution for injection pre-filled syringes (DE Pharmaceuticals)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"37678"	222	"Heparin sodium 5,000units/0.2ml solution for injection ampoules"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Parenteral Anticoagulants"	"Heparin"
