"medcodeid"	"TermRead"	"TermSNOMED"	"TermEMIS"	"SNOMED"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"Observations"
"2730051000000114"	"Mania with mood-congruent psychotic features"	"Mania with mood-congruent psychotic features (disorder)"	NA	"1089661000000104"	"^ESCT1171784"	NA	"bipolar"	6
"2730071000000117"	"Mania with mood-incongruent psychotic features"	"Mania with mood-incongruent psychotic features (disorder)"	NA	"1089671000000106"	"^ESCT1171785"	NA	"bipolar"	1
"2730091000000118"	"Mania with psychotic features"	"Mania with psychotic features (disorder)"	NA	"1089681000000108"	"^ESCT1171786"	NA	"bipolar"	1158
"2730111000000111"	"Acute predominantly delusional psychotic disorder"	"Acute predominantly delusional psychotic disorder (disorder)"	NA	"1089691000000105"	"^ESCT1171787"	NA	"other psychosis"	87
"2782051000006112"	"Bipolar I disorder, most recent episode manic with catatonic features"	NA	NA	NA	"^ESCTBI278205"	NA	"bipolar"	3
"2924901000006115"	"Severe bipolar disorder with psychotic features, mood-incongruent"	NA	NA	NA	"^ESCTSE292490"	NA	"bipolar"	1
"2960491000006119"	"Severe manic bipolar I disorder with psychotic features"	"Severe manic bipolar I disorder with psychotic features (disorder)"	NA	"28663008"	"^ESCTSE296049"	NA	"bipolar"	6
"2960501000006110"	"Severe bipolar I disorder, most recent episode manic, with psychotic features"	NA	NA	NA	"^ESCTSE296050"	NA	"bipolar"	1
"2976051000006113"	"Chronic undifferentiated schizophrenia"	NA	NA	NA	"^ESCTCH297605"	NA	"schizophrenia"	5
"3000261000006112"	"Schizoptypal disorder"	"Schizoptypal disorder"	"Schizoptypal disorder"	"31027006"	"^ESCTSC300026"	NA	"other psychosis"	5
"3005591000006114"	"Disorganised schizophrenia in remission"	"Disorganised schizophrenia in remission"	"Disorganised schizophrenia in remission"	"31373002"	"^ESCTDI300559"	NA	"schizophrenia"	9
"3006671000006118"	"Bipolar I disorder, most recent episode hypomanic"	"Bipolar I disorder, most recent episode hypomanic"	"Bipolar I disorder, most recent episode hypomanic"	"31446002"	"^ESCTBI300667"	NA	"bipolar"	501
"3036131000006117"	"Somatic delusion disorder"	"Somatic delusion disorder (disorder)"	NA	"33323008"	"^ESCTSO303613"	NA	"other psychosis"	49
"3036141000006110"	"Somatic delusion"	"Somatic delusion disorder (disorder)"	NA	"33323008"	"^ESCTSO303614"	NA	"other psychosis"	1
"3068121000006112"	"Disorganised schizophrenia"	"Disorganised schizophrenia"	"Disorganised schizophrenia"	"35252006"	"^ESCTDI306812"	NA	"schizophrenia"	1011
"3116711000006110"	"Involutional paraphrenia"	"Involutional paraphrenia"	"Involutional paraphrenia"	"38295006"	"^ESCTIN311671"	NA	"other psychosis"	102
"3118041000006112"	"Schizoaffective disorder, bipolar type"	"Schizoaffective disorder, bipolar type (disorder)"	NA	"38368003"	"^ESCTSC311804"	NA	"other psychosis"	105
"3137261000006111"	"Undifferentiated schizophrenia in remission"	"Undifferentiated schizophrenia in remission (disorder)"	NA	"39610001"	"^ESCTUN313726"	NA	"schizophrenia"	10
"3169541000006113"	"Mild bipolar I disorder, single manic episode"	NA	NA	NA	"^ESCTMI316954"	NA	"bipolar"	3
"3174001000006110"	"Severe bipolar I disorder, single manic episode with psychotic features"	NA	NA	NA	"^ESCTSE317400"	NA	"bipolar"	1
"3175731000006118"	"Amok"	"Amok (disorder)"	NA	"41932008"	"^ESCTAM317573"	NA	"other psychosis"	3
"3224371000006115"	"Capgras' syndrome"	"Capgras' syndrome"	NA	"44906001"	"^ESCTCA322437"	NA	"other psychosis"	11
"3224381000006117"	"Delusional misidentification syndrome"	NA	NA	NA	"^ESCTDE322438"	NA	"other psychosis"	1
"3224391000006119"	"Capgras syndrome"	"Capgras syndrome"	NA	"44906001"	"^ESCTCA322439"	NA	"other psychosis"	10
"3245481000006112"	"Catatonic stupor"	NA	NA	NA	"^ESCTCA324548"	NA	"other psychosis"	2
"3267191000006117"	"Grandiose delusion disorder"	NA	NA	NA	"^ESCTGR326719"	NA	"other psychosis"	1
"3318441000006110"	"Thought insertion"	"Thought insertion (finding)"	NA	"50543005"	"^ESCTTH331844"	NA	"other psychosis"	50
"3328681000006114"	"Residual schizophrenia in remission"	NA	NA	NA	"^ESCTRE332868"	NA	"schizophrenia"	20
"3361131000006115"	"Delusion of guilt"	NA	NA	NA	"^ESCTDE336113"	NA	"other psychosis"	2
"3369281000006111"	"Depressed bipolar I disorder in remission"	NA	NA	NA	"^ESCTDE336928"	NA	"bipolar"	2
"3468391000006115"	"Severe bipolar I disorder, most recent episode depressed with psychotic features"	"Severe depressed bipolar I disorder with psychotic features (disorder)"	NA	"59617007"	"^ESCTSE346839"	NA	"bipolar"	1
"3504721000006117"	"Induced psychotic disorder"	"Induced psychotic disorder"	"Induced psychotic disorder"	"61831009"	"^ESCTIN350472"	NA	"other psychosis"	208
"3504731000006119"	"Folie à deux"	"Folie � deux"	"Folie � deux"	"61831009"	"^ESCTFO350473"	NA	"other psychosis"	1
"3504751000006114"	"Induced psychosis"	"Induced psychosis"	"Induced psychosis"	"61831009"	"^ESCTIN350475"	NA	"other psychosis"	323
"3504791000006115"	"Induced paranoid disorder"	"Induced paranoid disorder"	"Induced paranoid disorder"	"61831009"	"^ESCTIN350479"	NA	"other psychosis"	59
"3527411000006119"	"Paranoid schizophrenia, in remission"	"Paranoid schizophrenia, in remission"	"Paranoid schizophrenia, in remission"	"63181006"	"^ESCTPA352741"	NA	"schizophrenia"	3
"3527771000006116"	"Bouffée délirante"	"Bouffée délirante"	"Bouff̩e d̩lirante"	"63204009"	"^ESCTBO352777"	NA	"other psychosis"	14
"3549101000006116"	"Delusional perception"	"Delusional perception (finding)"	NA	"64514005"	"^ESCTDE354910"	NA	"other psychosis"	4
"3555731000006114"	"Paraphrenic schizophrenia"	"Paraphrenic schizophrenia"	"Paraphrenic schizophrenia"	"64905009"	"^ESCTPA355573"	NA	"schizophrenia"	3
"3595611000006115"	"Delusional conclusion"	NA	NA	NA	"^ESCTDE359561"	NA	"other psychosis"	1
"3615761000006116"	"Manic bipolar I disorder"	NA	NA	NA	"^ESCTMA361576"	NA	"bipolar"	1
"3627341000006115"	"Psychosis"	"Psychosis"	"Psychosis"	"69322001"	"^ESCTPS362734"	NA	"other psychosis"	882
"3656651000006111"	"Chronic residual schizophrenia"	NA	NA	NA	"^ESCTCH365665"	NA	"schizophrenia"	5
"3760411000006111"	"Jealous delusion disorder"	"Jealous delusion disorder (disorder)"	NA	"77475008"	"^ESCTJE376041"	NA	"other psychosis"	21
"3788101000006118"	"Chronic undifferentiated schizophrenia with acute exacerbations"	"Chronic undifferentiated schizophrenia with acute exacerbations (disorder)"	NA	"79204003"	"^ESCTCH378810"	NA	"schizophrenia"	2
"3846961000006111"	"Bizarre delusion"	NA	NA	NA	"^ESCTBI384696"	NA	"other psychosis"	1
"3854401000006113"	"Bipolar 2 disorder"	"Bipolar 2 disorder"	"Bipolar 2 disorder"	"83225003"	"^ESCTBI385440"	NA	"bipolar"	45
"3862661000006112"	"Chronic schizophrenia"	"Chronic schizophrenia"	"Chronic schizophrenia"	"83746006"	"^ESCTCH386266"	NA	"schizophrenia"	1813
"3886291000006119"	"Bipolar disorder, in remission"	"Bipolar disorder, in remission"	"Bipolar disorder, in remission"	"85248005"	"^ESCTBI388629"	NA	"bipolar"	1
"3895621000006112"	"Subchronic undifferentiated schizophrenia"	NA	NA	NA	"^ESCTSU389562"	NA	"schizophrenia"	1
"3946141000006118"	"Schizophreniform disorder"	"Schizophreniform disorder (disorder)"	NA	"88975006"	"^ESCTSC394614"	NA	"other psychosis"	120
"3956691000006118"	"Persecutory delusion disorder"	NA	NA	NA	"^ESCTPE395669"	NA	"other psychosis"	8
"3959871000006110"	"Delusion of parasitosis"	"Delusion of parasitosis (finding)"	NA	"89809008"	"^ESCTDE395987"	NA	"other psychosis"	23
"4082931000006110"	"Schizophrenic reaction"	NA	NA	NA	"^ESCTSC408293"	NA	"other psychosis"	7
"4196201000006119"	"Mixed bipolar I disorder in full remission"	"Mixed bipolar I disorder in full remission (disorder)"	NA	"111485001"	"^ESCTMI419620"	NA	"bipolar"	6
"4539931000006112"	"History of schizophrenia"	"History of schizophrenia"	NA	"161468000"	"^ESCTHI453993"	NA	"schizophrenia"	2
"4763641000006116"	"Acute exacerbation of chronic disorganised schizophrenia"	"Acute exacerbation of chronic disorganised schizophrenia"	"Acute exacerbation of chronic disorganised schizophrenia"	"191539009"	"^ESCTAC476364"	NA	"schizophrenia"	3
"4763791000006118"	"Chronic paranoid schizophrenia with acute exacerbation"	"Chronic paranoid schizophrenia with acute exacerbation"	"Chronic paranoid schizophrenia with acute exacerbation"	"191555002"	"^ESCTCH476379"	NA	"schizophrenia"	1
"4763891000006112"	"Subchronic schizoaffective schizophrenia"	"Subchronic schizoaffective schizophrenia"	"Subchronic schizoaffective schizophrenia"	"191569002"	"^ESCTSU476389"	NA	"other psychosis"	1
