"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antiplatelets"
"32210"	2001	"Aspirin 300mg dispersible tablets (Accord-UK Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"17704"	4746	"Platet 100mg Effervescent tablet (Roche Products Ltd)"	"Aspirin"	"100mg"	"Effervescent Tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"22107"	11	"ASPIRIN disp 200 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"21380"	5626	"Aspirin 75mg / Isosorbide mononitrate 60mg modified-release tablets"	"Aspirin"	"75mg + 60mg"	"Modified-release tablet"	"Oral"	"Unknown"	"Aspirin"
"77265"	0	"Aspirin 300mg gastro-resistant tablets (DE Pharmaceuticals)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"3726"	973	"Metoclopramide with aspirin 5mg + 325mg Effervescent tablet"	"Aspirin"	"5mg + 325mg"	"Effervescent Tablet"	"Oral"	"Products Used Against Nausea And Vertigo - Domperidone & Metoclopramide/Acute Migraine"	"Aspirin"
"31499"	1	"Paracetamol with aspirin tablet"	"Aspirin"	NA	"Tablets"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"383"	228	"ASPIRIN 60 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"34309"	82	"Aspirin 300mg dispersible tablets (A A H Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"42218"	24	"Co-codaprin 8mg/400mg dispersible tablets (A A H Pharmaceuticals Ltd)"	"Aspirin"	"8mg + 400mg"	"Dispersible tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"33668"	26	"Aspirin 300mg Dispersible tablet (Rusco Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"23495"	0	"ASPIRIN"	"Aspirin"	NA	NA	NA	"Unknown"	"Aspirin"
"64929"	16	"Dipyridamole 200mg/5ml oral suspension"	"Dipyridamole"	"40mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"48000"	0	"Aspirin 300mg tablets (Sigma Pharmaceuticals Plc)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"85356"	0	"Aspirin 75mg dispersible tablets (Medihealth (Northern) Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"74302"	1	"Aspirin 75mg/5ml oral suspension"	"Aspirin"	"15mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products"	"Aspirin"
"20650"	69	"Aspirin 300mg / Paracetamol 200mg dispersible tablets sugar free"	"Aspirin"	"300mg + 200mg"	"Dispersible tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
