"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Anticoagulants"
"4260041000033113"	"Heparin sodium 50units/5ml patency solution ampoules"	"Not applicable"	"Route of administration not applicable"	"Heparin"	"10.000unit/1.000ml + 10.000unit/1.000ml"	"02080100"	"Heparin"
"4260141000033112"	"Heparin sodium 200units/2ml I.V. flush solution ampoules"	"Not applicable"	"Route of administration not applicable"	"Heparin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	NA	"Heparin"
"4260241000033117"	"Heparin sodium 50units/5ml I.V. flush solution ampoules"	"Not applicable"	"Route of administration not applicable"	"Heparin"	"10.000unit/1.000ml + 10.000unit/1.000ml"	NA	"Heparin"
"4267741000033110"	"Fondaparinux sodium 1.5mg/0.3ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Fondaparinux"	"5.000mg/1.000ml"	"02080100"	"Fondaparinux"
"4267841000033117"	"Arixtra 1.5mg/0.3ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Fondaparinux"	"5.000mg/1.000ml"	NA	"Fondaparinux"
"4291541000033111"	"Heparin sodium 5,000units/5ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin"	"1000.000unit/1.000ml + 1000.000unit/1.000ml"	"02080100"	"Heparin"
"4291641000033112"	"Heparin sodium 5,000units/1ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin"	"5000.000unit/1.000ml + 5000.000unit/1.000ml"	"02080100"	"Heparin"
"4291841000033113"	"Heparin sodium 25,000units/5ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin"	"5000.000unit/1.000ml + 5000.000unit/1.000ml"	"02080100"	"Heparin"
"4291941000033117"	"Heparin sodium 25,000units/1ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"02080100"	"Heparin"
"4292041000033111"	"Heparin sodium 125,000units/5ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"02080100"	"Heparin"
"4292141000033110"	"Heparin sodium 25,000units/5ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin"	"5000.000unit/1.000ml + 5000.000unit/1.000ml"	"02080100"	"Heparin"
