"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"Antidiabetic"	"group"	"database"
"76021"	"Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Solution for injection"	"Subcutaneous"	"Semaglutide"	"1.34mg/1ml"	"Semaglutide"	"GLP-1RAs"	"Gold"
"27280"	"Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous/Intramuscular"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Insulin"	"Insulin"	"Gold"
"73525"	"Metformin 500mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Oral solution"	"Oral"	"Metformin"	"100mg/1ml"	"Metformin"	"Metformin"	"Gold"
"34399"	"Gliclazide 80mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Gliclazide"	"80mg"	"Gliclazide"	"Sulfonylureas"	"Gold"
"8322"	"Insulin zinc suspension mixed human pyr 100unit/ml Injection"	"Injection"	"Intramuscular"	"Insulin"	"100unit/ml"	"Insulin"	"Insulin"	"Gold"
"86879"	"Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Spirit Healthcare Ltd)"	"Suppository"	"Rectal"	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"6337"	"Glimepiride 3mg tablets"	"Oral tablet"	"Oral"	"Glimepiride"	"3mg"	"Glimepiride"	"Sulfonylureas"	"Gold"
"53774"	"Metabet SR 500mg tablets (Actavis UK Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"500mg"	"Metformin"	"Metformin"	"Gold"
"34598"	"Metformin 500mg tablets (Viatris UK Healthcare Ltd)"	"Oral tablet"	"Oral"	"Metformin"	"500mg"	"Metformin"	"Metformin"	"Gold"
"84717"	"Metformin 500mg Tablet (Ratiopharm UK Ltd)"	"Oral tablet"	"Oral"	"Metformin"	"500mg"	"Metformin"	"Metformin"	"Gold"
"51881"	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (B.Braun Medical Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"35251"	"Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Exenatide"	"250microgram/1ml"	"Exenatide"	"GLP-1RAs"	"Gold"
"77805"	"Insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Insulin"	"200unit/1ml"	"Insulin"	"Insulin"	"Gold"
"26403"	"Pur-in mix 25/75 Injection (C P Pharmaceuticals Ltd)"	"Injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
