"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"	"period"
"7706141000006113"	5	"^ESCTMO770614"	NA	"monozygotic twin pregnancy"	"713576003"	"3290254018"	32	"unspecified"
"7724811000006118"	145	"^ESCTIN772481"	NA	"induced termination of pregnancy"	"714812005"	"3300517011"	32	"unspecified"
"7746321000006113"	8	"^ESCTAC774632"	NA	"acute fatty liver of pregnancy"	"716379000"	"3305738016"	31	"unspecified"
"7762601000006115"	2	"^ESCTAN776260"	NA	"antenatal screening for fetal growth retardation"	"717801000"	"3310290016"	32	"early pregnancy"
"7762621000006113"	1	"^ESCTAN776262"	NA	"antenatal screening for isoimmunisation"	"717802007"	"3315375015"	32	"early pregnancy"
"7772771000006113"	1	"^ESCTUL777277"	NA	"ultrasonography for afi (amniotic fluid index)"	"718475004"	"3312371017"	31	"late pregnancy"
"7784821000006117"	2	"^ESCTAS778482"	NA	"assessment of pregnancy status prior to imaging"	"719303004"	"3315921019"	31	"unspecified"
"7800131000006116"	1	"^ESCTMA780013"	NA	"maternal request for obstetric intervention"	"720266003"	"3320001019"	31	"unspecified"
"7813281000006118"	1	"^ESCTIN781328"	NA	"injury complicating pregnancy"	"721177006"	"3324531011"	31	"unspecified"
"7836911000006117"	1	"^ESCTBA783691"	NA	"baby premature at delivery 23 completed weeks"	"722840003"	"3333736015"	31	"postnatal"
"7846531000006115"	46	"^ESCTVA784653"	NA	"vaginal bleeding complicating early pregnancy"	"723665008"	"3487909012"	31	"unspecified"
"7856681000006117"	3	"^ESCTVE785668"	NA	"venous complication of pregnancy"	"724486009"	"3438918011"	31	"unspecified"
"7856711000006116"	1	"^ESCTPR785671"	NA	"preterm delivery following caesarean section"	"724489002"	"3435471015"	31	"postnatal"
"7856761000006118"	1	"^ESCTIN785676"	NA	"intrapartum haemorrhage with obstructed labour and uterine rupture"	"724490006"	"3438955011"	31	"postnatal"
"7961041000006113"	8	"^ESCTPO796104"	NA	"postpartum acute renal failure"	"733839001"	"3474857017"	32	"postnatal"
"7964981000006117"	1	"^ESCTFE796498"	NA	"fetal growth retardation, antenatal"	"181000119105"	"2916700011"	31	"early pregnancy"
"7965111000006111"	1	"^ESCTPR796511"	NA	"premature - gestation of 35-36 weeks"	"241000119108"	"2967719012"	31	"36"
"7969581000006113"	1	"^ESCTCH796958"	NA	"chlamydia trachomatis infection in pregnancy"	"1621000119101"	"2916742013"	31	"unspecified"
"7982021000006110"	1	"^ESCTTH798202"	NA	"three dimensional obstetric ultrasonography"	"5231000179108"	"3330279018"	31	"unspecified"
"7982061000006116"	1	"^ESCTTH798206"	NA	"three dimensional obstetric ultrasonography in third trimester"	"5241000179100"	"3330283018"	31	"unspecified"
