"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antidepressant"
"4896841000033113"	"Vexarin XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"4896941000033117"	"ViePax 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"4897041000033116"	"ViePax 37.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"37.500mg"	NA	"Venlafaxine"
"4897141000033117"	"Tardcaps XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"4897241000033112"	"Tardcaps XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"4899541000033115"	"Vensir XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"4899641000033119"	"Vensir XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"4936641000033111"	"Venaxx XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"4936741000033119"	"Venaxx XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"4937041000033115"	"Vaxalin XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"4937141000033116"	"Vaxalin XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"4954041000033114"	"Doxepin 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Doxepin"	"10.000mg/1.000ml"	"04030100"	"Doxepin"
"4957841000033111"	"Politid XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"4957941000033115"	"Politid XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"5008041000033112"	"Venlafaxine 75mg/5ml oral solution"	"Oral solution"	"Oral"	"Venlafaxine"	"15.000mg/1.000ml"	"04030400"	"Venlafaxine"
"5052741000033119"	"Venlafaxine 225mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"225.000mg"	"04030400"	"Venlafaxine"
"5052841000033112"	"Venlalic XL 225mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"225.000mg"	NA	"Venlafaxine"
"5052941000033116"	"Venlalic XL 150mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"5053041000033114"	"Venlalic XL 75mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"5077041000033116"	"Agomelatine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Agomelatine"	"25.000mg"	"04030400"	"Agomelatine"
"5077141000033117"	"Valdoxan 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Agomelatine"	"25.000mg"	NA	"Agomelatine"
