"medcode"	"term"	"database"
"14393841000006116"	"referred to nutrition and dietetics service (excluding weight management)"	"Aurum"
"14413201000006113"	"self reported body height"	"Aurum"
"14413211000006111"	"number of weeks attendance of weight management programme"	"Aurum"
"14413281000006116"	"date of weight measurement"	"Aurum"
"14415851000006112"	"planned number of weeks attendance at weight management programme"	"Aurum"
"14445011000006111"	"recumbent body height"	"Aurum"
"14452481000006119"	"body mass index for age z-score"	"Aurum"
"14452521000006119"	"weight for height percentile"	"Aurum"
"14452531000006116"	"body mass index for age percentile"	"Aurum"
"14452571000006118"	"mid parental height"	"Aurum"
"14452941000006118"	"body height"	"Aurum"
"14500801000006110"	"mild protein-calorie malnutrition (weight for age 75-89 percent of standard)"	"Aurum"
"14510231000006118"	"bmi (body mass index) centile"	"Aurum"
"14518971000006110"	"focal segmental glomerulosclerosis due to obesity"	"Aurum"
"14518981000006113"	"fsgs (focal segmental glomerulosclerosis) due to obesity"	"Aurum"
"14532981000006117"	"self reported body height"	"Aurum"
"14679381000006117"	"obesity monitoring declined"	"Aurum"
"14753781000006110"	"phip-related behavioural problems, intellectual disability, obesity, dysmorphic features syndrome"	"Aurum"
"14770371000006116"	"target body mass index"	"Aurum"
"14788991000006113"	"self reported peak adult body height"	"Aurum"
"14811551000006116"	"referral to nhs digital weight management programme"	"Aurum"
"14811701000006114"	"referral to nhs tier 4 specialist weight management service"	"Aurum"
"14811711000006112"	"referral to nhs tier 3 specialist weight management service"	"Aurum"
